HR4000_17_08_2023_13h33min39s spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 733.0
195.2037815346219 703.0
195.47341553816543 707.0
195.74304201014752 709.0
196.012660950085 720.0
196.28227235749478 722.0
196.55187623189366 729.0
196.82147257279857 726.0
197.09106137972637 723.0
197.36064265219392 731.0
197.63021638971804 729.0
197.89978259181567 733.0
198.16934125800364 729.0
198.43889238779886 747.0
198.7084359807181 722.0
198.97797203627835 734.0
199.2475005539964 730.0
199.51702153338914 731.0
199.78653497397343 732.0
200.05604087526618 723.0
200.3255392367842 726.0
200.59503005804436 728.0
200.8645133385636 738.0
201.1339890778587 740.0
201.4034572754466 736.0
201.67291793084408 734.0
201.94237104356813 732.0
202.21181661313554 729.0
202.48125463906314 722.0
202.7506851208679 735.0
203.02010805806663 724.0
203.28952345017618 730.0
203.55893129671344 729.0
203.8283315971953 725.0
204.0977243511386 730.0
204.3671095580602 735.0
204.636487217477 739.0
204.90585732890585 729.0
205.17521989186366 725.0
205.44457490586717 723.0
205.7139223704334 729.0
205.98326228507918 738.0
206.2525946493213 744.0
206.5219194626767 721.0
206.79123672466224 736.0
207.06054643479476 745.0
207.32984859259116 732.0
207.59914319756828 715.0
207.86843024924303 732.0
208.13770974713225 717.0
208.40698169075276 736.0
208.6762460796215 741.0
208.94550291325532 731.0
209.2147521911711 730.0
209.48399391288567 718.0
209.75322807791594 749.0
210.02245468577874 733.0
210.29167373599094 728.0
210.56088522806942 743.0
210.83008916153108 735.0
211.09928553589276 720.0
211.3684743506713 738.0
211.63765560538363 739.0
211.9068292995466 741.0
212.175995432677 732.0
212.44515400429182 735.0
212.71430501390782 725.0
212.98344846104192 742.0
213.25258434521103 741.0
213.52171266593191 734.0
213.79083342272153 735.0
214.05994661509675 745.0
214.3290522425744 732.0
214.5981503046713 739.0
214.8672408009044 750.0
215.13632373079054 740.0
215.4053990938466 733.0
215.6744668895894 728.0
215.94352711753592 732.0
216.21257977720293 744.0
216.48162486810728 730.0
216.7506623897659 734.0
217.01969234169565 735.0
217.2887147234134 727.0
217.55772953443596 734.0
217.82673677428028 734.0
218.0957364424632 731.0
218.36472853850154 726.0
218.6337130619122 747.0
218.9026900122121 742.0
219.17165938891804 722.0
219.4406211915469 714.0
219.70957541961562 724.0
219.97852207264097 729.0
220.24746115013983 730.0
220.5163926516291 732.0
220.78531657662566 728.0
221.05423292464639 733.0
221.32314169520808 718.0
221.59204288782766 744.0
221.860936502022 740.0
222.12982253730797 719.0
222.39870099320237 718.0
222.66757186922214 731.0
222.93643516488416 719.0
223.20529087970525 713.0
223.47413901320226 739.0
223.74297956489212 738.0
224.01181253429166 744.0
224.28063792091777 733.0
224.5494557242873 729.0
224.8182659439171 743.0
225.08706857932413 750.0
225.35586363002508 734.0
225.62465109553705 742.0
225.89343097537673 738.0
226.16220326906105 744.0
226.43096797610687 730.0
226.69972509603105 744.0
226.9684746283505 742.0
227.237216572582 747.0
227.50595092824256 733.0
227.7746776948489 725.0
228.04339687191796 730.0
228.31210845896663 734.0
228.5808124555117 728.0
228.84950886107015 742.0
229.11819767515877 733.0
229.38687889729442 732.0
229.65555252699397 729.0
229.92421856377433 718.0
230.1928770071524 733.0
230.46152785664492 724.0
230.73017111176884 723.0
230.99880677204106 723.0
231.26743483697837 734.0
231.53605530609772 735.0
231.8046681789159 726.0
232.07327345494983 710.0
232.34187113371638 716.0
232.61046121473237 730.0
232.87904369751473 719.0
233.14761858158028 741.0
233.41618586644586 746.0
233.68474555162845 725.0
233.95329763664483 732.0
234.2218421210119 743.0
234.49037900424648 731.0
234.7589082858655 748.0
235.02742996538583 731.0
235.29594404232427 728.0
235.56445051619772 736.0
235.8329493865231 748.0
236.10144065281722 732.0
236.36992431459691 740.0
236.63840037137916 742.0
236.9068688226808 731.0
237.1753296680186 727.0
237.44378290690955 743.0
237.7122285388704 731.0
237.9806665634181 727.0
238.24909698006957 738.0
238.51751978834153 741.0
238.78593498775095 727.0
239.0543425778147 741.0
239.32274255804958 741.0
239.59113492797255 738.0
239.8595196871004 740.0
240.12789683495004 742.0
240.3962663710383 730.0
240.66462829488208 729.0
240.93298260599826 734.0
241.2013293039037 721.0
241.46966838811522 738.0
241.73799985814978 738.0
242.00632371352418 730.0
242.27463995375527 712.0
242.54294857835998 715.0
242.81124958685515 733.0
243.07954297875764 742.0
243.34782875358434 740.0
243.61610691085207 733.0
243.88437745007772 746.0
244.15264037077822 729.0
244.42089567247035 741.0
244.68914335467105 740.0
244.95738341689716 724.0
245.2256158586655 726.0
245.493840679493 725.0
245.76205787889654 730.0
246.03026745639292 730.0
246.29846941149904 722.0
246.5666637437318 724.0
246.834850452608 740.0
247.1030295376446 742.0
247.37120099835838 736.0
247.63936483426627 724.0
247.9075210448851 732.0
248.17566962973177 744.0
248.4438105883231 737.0
248.71194392017603 730.0
248.98006962480733 730.0
249.248187701734 729.0
249.51629815047275 716.0
249.78440097054056 724.0
250.05249616145431 733.0
250.32058372273076 724.0
250.5886636538869 722.0
250.85673595443953 727.0
251.12480062390551 748.0
251.39285766180177 731.0
251.6609070676451 734.0
251.92894884095242 732.0
252.19698298124058 727.0
252.46500948802645 732.0
252.73302836082692 745.0
253.00103959915882 725.0
253.26904320253902 732.0
253.53703917048443 728.0
253.80502750251188 718.0
254.07300819813827 728.0
254.34098125688044 727.0
254.60894667825525 740.0
254.87690446177962 722.0
255.14485460697037 738.0
255.41279711334434 750.0
255.6807319804185 721.0
255.94865920770962 706.0
256.2165787947346 719.0
256.48449074101035 731.0
256.75239504605366 731.0
257.02029170938147 718.0
257.28818073051065 725.0
257.556062108958 722.0
257.8239358442404 750.0
258.0918019358748 725.0
258.35966038337796 732.0
258.6275111862668 746.0
258.8953543440582 728.0
259.163189856269 727.0
259.4310177224162 734.0
259.6988379420164 732.0
259.9666505145867 733.0
260.23445543964385 730.0
260.50225271670473 737.0
260.77004234528624 743.0
261.03782432490533 736.0
261.3055986550787 726.0
261.5733653353234 732.0
261.8411243651561 739.0
262.1088757440937 747.0
262.37661947165327 742.0
262.6443555473515 721.0
262.9120839707053 721.0
263.1798047412315 727.0
263.44751785844704 738.0
263.7152233218687 735.0
263.98292113101354 734.0
264.2506112853982 710.0
264.51829378453965 719.0
264.7859686279547 712.0
265.05363581516025 725.0
265.32129534567326 722.0
265.5889472190105 724.0
265.8565914346889 713.0
266.1242279922252 729.0
266.39185689113634 724.0
266.65947813093925 737.0
266.9270917111508 729.0
267.19469763128774 731.0
267.46229589086704 731.0
267.72988648940554 727.0
267.9974694264201 732.0
268.2650447014276 737.0
268.53261231394487 733.0
268.80017226348883 727.0
269.0677245495763 728.0
269.3352691717242 731.0
269.60280612944933 738.0
269.8703354222686 725.0
270.13785704969894 733.0
270.40537101125716 743.0
270.67287730646007 734.0
270.9403759348246 742.0
271.2078668958677 737.0
271.47535018910605 718.0
271.7428258140567 713.0
272.01029377023633 724.0
272.2777540571619 738.0
272.5452066743504 737.0
272.81265162131854 743.0
273.08008889758327 738.0
273.34751850266144 720.0
273.6149404360698 739.0
273.8823546973254 716.0
274.1497612859451 718.0
274.4171602014456 729.0
274.6845514433439 728.0
274.95193501115676 727.0
275.2193109044012 731.0
275.486679122594 732.0
275.7540396652521 742.0
276.02139253189216 732.0
276.2887377220313 734.0
276.55607523518626 742.0
276.82340507087395 726.0
277.09072722861123 726.0
277.3580417079149 721.0
277.62534850830195 724.0
277.8926476292892 738.0
278.1599390703934 737.0
278.4272228311316 734.0
278.69449891102056 723.0
278.96176730957717 718.0
279.22902802631836 740.0
279.4962810607609 738.0
279.76352641242164 737.0
280.0307640808177 722.0
280.29799406546556 728.0
280.5652163658824 725.0
280.8324309815849 735.0
281.09963791209003 718.0
281.3668371569146 735.0
281.6340287155756 733.0
281.9012125875897 735.0
282.168388772474 739.0
282.4355572697452 730.0
282.7027180789201 714.0
282.9698711995158 728.0
283.23701663104896 739.0
283.50415437303667 734.0
283.77128442499554 724.0
284.0384067864426 732.0
284.3055214568946 743.0
284.57262843586864 732.0
284.8397277228814 725.0
285.1068193174497 727.0
285.37390321909055 738.0
285.6409794273207 725.0
285.9080479416572 729.0
286.1751087616167 723.0
286.4421618867162 736.0
286.7092073164725 727.0
286.9762450504025 741.0
287.24327508802315 734.0
287.5102974288511 739.0
287.77731207240345 738.0
288.04431901819703 730.0
288.3113182657485 724.0
288.578309814575 720.0
288.84529366419326 737.0
289.1122698141201 734.0
289.37923826387254 748.0
289.6461990129674 742.0
289.91315206092133 738.0
290.18009740725154 737.0
290.44703505147464 723.0
290.7139649931077 727.0
290.98088723166734 741.0
291.24780176667065 727.0
291.5147085976344 743.0
291.78160772407557 733.0
292.04849914551085 732.0
292.3153828614572 731.0
292.58225887143146 739.0
292.8491271749505 740.0
293.1159877715313 739.0
293.3828406606906 730.0
293.6496858419453 728.0
293.9165233148123 717.0
294.1833530788084 709.0
294.4501751334505 716.0
294.71698947825547 722.0
294.9837961127402 721.0
295.2505950364216 732.0
295.5173862488164 732.0
295.78416974944156 737.0
296.050945537814 734.0
296.31771361345045 742.0
296.584473975868 734.0
296.8512266245832 738.0
297.11797155911313 719.0
297.38470877897464 723.0
297.6514382836846 718.0
297.9181600727598 732.0
298.18487414571723 724.0
298.4515805020736 736.0
298.71827914134593 727.0
298.9849700630511 721.0
299.2516532667058 723.0
299.518328751827 722.0
299.78499651793163 721.0
300.0516565645365 740.0
300.3183088911584 722.0
300.58495349731436 725.0
300.8515903825211 745.0
301.1182195462956 725.0
301.3848409881546 735.0
301.65145470761513 738.0
301.91806070419403 729.0
302.184658977408 741.0
302.4512495267741 744.0
302.7178323518091 725.0
302.9844074520298 742.0
303.2509748269532 739.0
303.5175344760962 740.0
303.78408639897555 733.0
304.0506305951082 726.0
304.31716706401096 721.0
304.58369580520065 735.0
304.8502168181943 727.0
305.1167301025086 728.0
305.3832356576606 730.0
305.649733483167 734.0
305.9162235785447 728.0
306.1827059433106 730.0
306.4491805769817 734.0
306.7156474790747 742.0
306.98210664910647 736.0
307.2485580865939 724.0
307.5150017910539 719.0
307.7814377620034 715.0
308.0478659989591 732.0
308.31428650143795 727.0
308.58069926895683 728.0
308.8471043010326 734.0
309.1135015971821 742.0
309.37989115692227 749.0
309.6462729797699 724.0
309.91264706524197 741.0
310.1790134128551 742.0
310.4453720221265 738.0
310.71172289257277 725.0
310.97806602371094 724.0
311.2444014150577 745.0
311.5107290661301 721.0
311.777048976445 729.0
312.04336114551904 734.0
312.30966557286945 721.0
312.5759622580128 741.0
312.8422512004661 733.0
313.1085323997461 741.0
313.3748058553698 722.0
313.641071566854 719.0
313.90732953371554 723.0
314.17357975547145 728.0
314.4398222316384 737.0
314.70605696173334 738.0
314.9722839452731 747.0
315.23850318177466 730.0
315.50471467075477 727.0
315.7709184117303 722.0
316.0371144042182 740.0
316.3033026477353 731.0
316.56948314179846 726.0
316.8356558859246 716.0
317.1018208796305 719.0
317.36797812243304 719.0
317.6341276138491 738.0
317.90026935339563 723.0
318.1664033405894 720.0
318.4325295749473 731.0
318.6986480559862 737.0
318.96475878322303 743.0
319.2308617561746 747.0
319.4969569743577 737.0
319.76304443728935 741.0
320.0291241444864 740.0
320.2951960954656 720.0
320.5612602897438 723.0
320.82731672683815 716.0
321.0933654062652 721.0
321.359406327542 737.0
321.6254394901853 728.0
321.891464893712 732.0
322.157482537639 725.0
322.4234924214832 732.0
322.68949454476143 731.0
322.95548890699064 720.0
323.2214755076875 730.0
323.487454346369 739.0
323.753425422552 722.0
324.01938873575347 726.0
324.2853442854901 730.0
324.55129207127885 749.0
324.8172320926366 735.0
325.08316434908016 735.0
325.34908884012646 739.0
325.61500556529234 721.0
325.8809145240947 729.0
326.14681571605024 733.0
326.4127091406761 739.0
326.6785947974889 739.0
326.9444726860058 741.0
327.2103428057433 748.0
327.47620515621855 732.0
327.74205973694836 733.0
328.00790654744947 733.0
328.2737455872389 738.0
328.5395768558335 757.0
328.80540035275004 731.0
329.0712160775054 709.0
329.33702402961654 741.0
329.6028242086002 739.0
329.86861661397353 732.0
330.13440124525306 735.0
330.4001781019559 727.0
330.66594718359863 723.0
330.9317084896984 750.0
331.19746201977205 734.0
331.46320777333636 727.0
331.7289457499082 732.0
331.9946759490044 737.0
332.2603983701419 736.0
332.5261130128375 714.0
