USB2000PLUS_14_08_2023_13h30min27s spectrum
Wavelength [nm] // Intensity [u.a.] 
178.987745 15.11515650741351
179.3737657425767 25695.766062602965
179.75975795869377 1129.318121911038
180.14572163093155 1053.7423393739703
180.53165674187034 1163.8670510708403
180.91756327409047 1051.5830313014826
181.30344121017237 1049.423723228995
181.68929053269633 1140.1146622734761
182.07511122424268 1103.4064250411861
182.46090326739179 1142.2739703459638
182.846666644724 1185.4601317957167
183.23240133881964 1161.7077429983526
183.61810733225906 1202.7345963756177
184.0037846076226 1170.3449752883032
184.38943314749065 1148.7518945634267
184.7750529344435 1261.0359143327842
185.16064395106147 1166.026359143328
185.546206179925 1265.3545304777595
185.93173960361437 1228.6462932454695
186.3172442047099 1319.3372322899506
186.702719965792 1319.3372322899506
187.08816686944093 1278.3103789126853
187.47358489823714 1269.6731466227347
187.8589740347609 1336.6116968698518
188.24433426159254 1360.3640856672157
188.62966556131252 1394.913014827018
189.01496791650104 1403.5502471169686
189.40024130973848 1343.0896210873148
189.78548572360523 1435.9398682042834
190.17070114068164 1384.1164744645798
190.55588754354798 1410.0281713344316
190.94104491478467 1392.7537067545304
191.326173236972 1388.4350906095551
191.71127249269037 1435.9398682042834
192.09634266452008 1399.2316309719934
192.48138373504148 1369.0013179571663
192.86639568683495 1496.4004942339375
193.25137850248078 1453.2143327841845
193.63633216455932 1420.8247116968698
194.02125665565094 1425.1433278418451
194.406151958336 1431.621252059308
194.7910180551948 1442.4177924217463
195.17585492880772 1442.4177924217463
195.56066256175504 1433.7805601317957
195.9454409366172 1418.6654036243822
196.3301900359745 1451.055024711697
196.71490984240725 1457.5329489291598
197.09960033849583 1425.1433278418451
197.48426150682062 1420.8247116968698
197.86889332996188 1451.055024711697
198.25349579049998 1429.4619439868204
198.6380688710153 1446.7364085667216
199.0226125540882 1418.6654036243822
199.40712682229895 1457.5329489291598
199.79161165822794 1451.055024711697
200.17606704445546 1401.390939044481
200.56049296356198 1448.8957166392092
200.94488939812774 1422.9840197693575
201.32925633073307 1466.1701812191104
201.71359374395837 1431.621252059308
202.097901620384 1422.9840197693575
202.48217994259022 1347.40823723229
202.86642869315745 1394.913014827018
203.25064785466606 1444.577100494234
203.63483740969625 1414.3467874794069
204.0189973408285 1353.886161449753
204.4031276306431 1416.5060955518945
204.78722826172037 1366.8420098846786
205.1712992166408 1429.4619439868204
205.55534047798452 1375.4792421746292
205.93935202833197 1386.2757825370675
206.32333385026357 1464.0108731466228
206.70728592635956 1353.886161449753
207.09120823920028 1362.5233937397034
207.47510077136616 1377.6385502471169
207.8589635054375 1403.5502471169686
208.2427964239946 1442.4177924217463
208.62659950961788 1429.4619439868204
209.01037274488763 1381.9571663920922
209.39411611238424 1412.1874794069192
209.777829594688 1358.2047775947283
210.16151317437928 1448.8957166392092
210.5451668340384 1407.868863261944
210.9287905562458 1412.1874794069192
211.31238432358168 1451.055024711697
211.6959481186265 1418.6654036243822
212.07948192396057 1420.8247116968698
212.46298572216418 1433.7805601317957
212.84645949581773 1438.099176276771
213.22990322750155 1360.3640856672157
213.613316899796 1440.2584843492587
213.9967004952814 1394.913014827018
214.3800539965381 1375.4792421746292
214.76337738614646 1397.0723228995057
215.14667064668683 1455.3736408566722
215.52993376073948 1403.5502471169686
215.91316671088484 1422.9840197693575
216.29636947970323 1459.6922570016475
216.67954204977502 1444.577100494234
217.06268440368046 1468.329489291598
217.44579652399997 1386.2757825370675
217.82887839331394 1459.6922570016475
218.2119299942026 1466.1701812191104
218.59495130924634 1403.5502471169686
218.97794232102552 1464.0108731466228
219.3609030121205 1392.7537067545304
219.74383336511158 1457.5329489291598
220.1267333625791 1457.5329489291598
220.50960298710348 1386.2757825370675
220.892442221265 1440.2584843492587
221.275251047644 1427.3026359143328
221.65802944882083 1392.7537067545304
222.04077740737586 1388.4350906095551
222.4234949058894 1433.7805601317957
222.80618192694183 1397.0723228995057
223.1888384531135 1407.868863261944
223.5714644669847 1422.9840197693575
223.9540599511358 1410.0281713344316
224.33662488814716 1453.2143327841845
224.7191592605991 1442.4177924217463
225.10166305107197 1470.4887973640857
225.48413624214618 1405.7095551894563
225.86657881640193 1412.1874794069192
226.24899075641972 1371.160626029654
226.6313720447798 1438.099176276771
227.0137226640625 1435.9398682042834
227.39604259684822 1418.6654036243822
227.7783318257173 1384.1164744645798
228.16059033325004 1453.2143327841845
228.5428181020268 1381.9571663920922
228.925015114628 1422.9840197693575
229.30718135363387 1377.6385502471169
229.68931680162484 1422.9840197693575
230.0714214411812 1410.0281713344316
230.45349525488328 1410.0281713344316
230.83553822531147 1468.329489291598
231.21755033504613 1422.9840197693575
231.59953156666757 1364.682701812191
231.98148190275612 1444.577100494234
232.36340132589217 1412.1874794069192
232.745289818656 1371.160626029654
233.127147363628 1403.5502471169686
233.5089739433885 1399.2316309719934
233.89076954051785 1384.1164744645798
234.2725341375964 1362.5233937397034
234.6542677172045 1461.8515650741351
235.03597026192244 1405.7095551894563
235.41764175433065 1470.4887973640857
235.79928217700942 1377.6385502471169
236.18089151253906 1293.4255354200989
236.5624697435 1435.9398682042834
236.94401685247252 1362.5233937397034
