FLAMES_15_08_2023_10h37min35s spectrum
Wavelength [nm] // Intensity [u.a.] 
178.987745 15.11515650741351
179.3737657425767 25695.766062602965
179.75975795869377 926.3431630971993
180.14572163093155 803.2626029654036
180.53165674187034 837.8115321252059
180.91756327409047 857.2453047775947
181.30344121017237 874.5197693574959
181.68929053269633 850.7673805601318
182.07511122424268 889.6349258649094
182.46090326739179 922.024546952224
182.846666644724 917.7059308072487
183.23240133881964 827.0149917627677
183.61810733225906 898.27215815486
184.0037846076226 896.1128500823723
184.38943314749065 930.6617792421746
184.7750529344435 945.7769357495881
185.16064395106147 924.1838550247116
185.546206179925 991.1224052718286
185.93173960361437 986.8037891268534
186.3172442047099 1017.0341021416804
186.702719965792 982.4851729818781
187.08816686944093 1058.0609555189455
187.47358489823714 1062.3795716639208
187.8589740347609 1112.0436573311367
188.24433426159254 1025.671334431631
188.62966556131252 1155.2298187808897
189.01496791650104 1090.4505766062603
189.40024130973848 1213.531136738056
189.78548572360523 1129.318121911038
190.17070114068164 1172.5042833607909
190.55588754354798 1090.4505766062603
190.94104491478467 1207.053212520593
191.326173236972 1166.026359143328
191.71127249269037 1194.097364085667
192.09634266452008 1204.8939044481053
192.48138373504148 1194.097364085667
192.86639568683495 1194.097364085667
193.25137850248078 1226.4869851729818
193.63633216455932 1129.318121911038
194.02125665565094 1239.4428336079077
194.406151958336 1207.053212520593
194.7910180551948 1159.548434925865
195.17585492880772 1114.2029654036244
195.56066256175504 1174.6635914332785
195.9454409366172 1191.9380560131794
196.3301900359745 1200.57528830313
196.71490984240725 1157.3891268533773
197.09960033849583 1207.053212520593
197.48426150682062 1168.1856672158156
197.86889332996188 1163.8670510708403
198.25349579049998 1230.805601317957
198.6380688710153 1202.7345963756177
199.0226125540882 1163.8670510708403
199.40712682229895 1114.2029654036244
199.79161165822794 1129.318121911038
200.17606704445546 1170.3449752883032
200.56049296356198 1161.7077429983526
200.94488939812774 1222.1683690280065
201.32925633073307 1183.300823723229
201.71359374395837 1187.6194398682042
202.097901620384 1181.1415156507414
202.48217994259022 1196.2566721581547
202.86642869315745 1178.9822075782538
203.25064785466606 1187.6194398682042
203.63483740969625 1153.070510708402
204.0189973408285 1198.4159802306424
204.4031276306431 1092.609884678748
204.78722826172037 1157.3891268533773
205.1712992166408 1183.300823723229
205.55534047798452 1187.6194398682042
205.93935202833197 1170.3449752883032
206.32333385026357 1168.1856672158156
206.70728592635956 1198.4159802306424
207.09120823920028 1170.3449752883032
207.47510077136616 1187.6194398682042
207.8589635054375 1148.7518945634267
208.2427964239946 1153.070510708402
208.62659950961788 1101.2471169686985
209.01037274488763 1168.1856672158156
209.39411611238424 1204.8939044481053
209.777829594688 1183.300823723229
210.16151317437928 1153.070510708402
210.5451668340384 1245.9207578253706
210.9287905562458 1174.6635914332785
211.31238432358168 1135.7960461285008
211.6959481186265 1183.300823723229
212.07948192396057 1157.3891268533773
212.46298572216418 1194.097364085667
212.84645949581773 1207.053212520593
213.22990322750155 1099.0878088962108
213.613316899796 1220.0090609555189
213.9967004952814 1144.4332784184514
214.3800539965381 1140.1146622734761
214.76337738614646 1129.318121911038
215.14667064668683 1120.6808896210873
215.52993376073948 1148.7518945634267
215.91316671088484 1170.3449752883032
216.29636947970323 1153.070510708402
216.67954204977502 1148.7518945634267
217.06268440368046 1176.8228995057661
217.44579652399997 1159.548434925865
217.82887839331394 1217.8497528830312
218.2119299942026 1211.3718286655683
218.59495130924634 1187.6194398682042
218.97794232102552 1157.3891268533773
219.3609030121205 1159.548434925865
219.74383336511158 1204.8939044481053
220.1267333625791 1181.1415156507414
220.50960298710348 1168.1856672158156
220.892442221265 1153.070510708402
221.275251047644 1159.548434925865
221.65802944882083 1224.3276771004942
222.04077740737586 1103.4064250411861
222.4234949058894 1129.318121911038
222.80618192694183 1178.9822075782538
223.1888384531135 1191.9380560131794
223.5714644669847 1213.531136738056
223.9540599511358 1122.840197693575
224.33662488814716 1133.6367380560132
224.7191592605991 1159.548434925865
225.10166305107197 1142.2739703459638
225.48413624214618 1159.548434925865
225.86657881640193 1202.7345963756177
226.24899075641972 1161.7077429983526
226.6313720447798 1170.3449752883032
227.0137226640625 1159.548434925865
227.39604259684822 1198.4159802306424
227.7783318257173 1155.2298187808897
228.16059033325004 1211.3718286655683
228.5428181020268 1146.592586490939
228.925015114628 1183.300823723229
229.30718135363387 1174.6635914332785
229.68931680162484 1200.57528830313
230.0714214411812 1183.300823723229
230.45349525488328 1168.1856672158156
230.83553822531147 1222.1683690280065
231.21755033504613 1092.609884678748
231.59953156666757 1148.7518945634267
231.98148190275612 1189.7787479406918
232.36340132589217 1157.3891268533773
232.745289818656 1191.9380560131794
233.127147363628 1137.9553542009885
233.5089739433885 1215.6904448105436
233.89076954051785 1150.9112026359144
234.2725341375964 1131.4774299835256
234.6542677172045 1230.805601317957
235.03597026192244 1155.2298187808897
235.41764175433065 1155.2298187808897
235.79928217700942 1140.1146622734761
236.18089151253906 1230.805601317957
236.5624697435 1198.4159802306424
236.94401685247252 1105.5657331136738
237.325532822037 1163.8670510708403
237.70701763477373 1230.805601317957
