126HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 810.0
195.2037815346219 763.0
195.47341553816543 772.0
195.74304201014752 810.0
196.012660950085 821.0
196.28227235749478 830.0
196.55187623189366 836.0
196.82147257279857 815.0
197.09106137972637 824.0
197.36064265219392 825.0
197.63021638971804 829.0
197.89978259181567 821.0
198.16934125800364 838.0
198.43889238779886 832.0
198.7084359807181 818.0
198.97797203627835 816.0
199.2475005539964 817.0
199.51702153338914 831.0
199.78653497397343 838.0
200.05604087526618 830.0
200.3255392367842 820.0
200.59503005804436 822.0
200.8645133385636 817.0
201.1339890778587 817.0
201.4034572754466 838.0
201.67291793084408 833.0
201.94237104356813 845.0
202.21181661313554 833.0
202.48125463906314 834.0
202.7506851208679 840.0
203.02010805806663 823.0
203.28952345017618 826.0
203.55893129671344 833.0
203.8283315971953 834.0
204.0977243511386 832.0
204.3671095580602 829.0
204.636487217477 828.0
204.90585732890585 827.0
205.17521989186366 823.0
205.44457490586717 830.0
205.7139223704334 830.0
205.98326228507918 813.0
206.2525946493213 840.0
206.5219194626767 830.0
206.79123672466224 833.0
207.06054643479476 837.0
207.32984859259116 829.0
207.59914319756828 823.0
207.86843024924303 822.0
208.13770974713225 841.0
208.40698169075276 829.0
208.6762460796215 835.0
208.94550291325532 808.0
209.2147521911711 816.0
209.48399391288567 841.0
209.75322807791594 824.0
210.02245468577874 827.0
210.29167373599094 821.0
210.56088522806942 845.0
210.83008916153108 836.0
211.09928553589276 827.0
211.3684743506713 818.0
211.63765560538363 824.0
211.9068292995466 827.0
212.175995432677 805.0
212.44515400429182 821.0
212.71430501390782 839.0
212.98344846104192 829.0
213.25258434521103 842.0
213.52171266593191 825.0
213.79083342272153 827.0
214.05994661509675 818.0
214.3290522425744 816.0
214.5981503046713 820.0
214.8672408009044 825.0
215.13632373079054 826.0
215.4053990938466 829.0
215.6744668895894 821.0
215.94352711753592 826.0
216.21257977720293 815.0
216.48162486810728 829.0
216.7506623897659 835.0
217.01969234169565 823.0
217.2887147234134 822.0
217.55772953443596 839.0
217.82673677428028 834.0
218.0957364424632 828.0
218.36472853850154 829.0
218.6337130619122 849.0
218.9026900122121 824.0
219.17165938891804 836.0
219.4406211915469 837.0
219.70957541961562 815.0
219.97852207264097 825.0
220.24746115013983 840.0
220.5163926516291 835.0
220.78531657662566 824.0
221.05423292464639 822.0
221.32314169520808 828.0
221.59204288782766 818.0
221.860936502022 836.0
222.12982253730797 834.0
222.39870099320237 824.0
222.66757186922214 836.0
222.93643516488416 833.0
223.20529087970525 838.0
223.47413901320226 822.0
223.74297956489212 830.0
224.01181253429166 819.0
224.28063792091777 805.0
224.5494557242873 829.0
224.8182659439171 817.0
225.08706857932413 833.0
225.35586363002508 833.0
225.62465109553705 841.0
225.89343097537673 818.0
226.16220326906105 849.0
226.43096797610687 830.0
226.69972509603105 829.0
226.9684746283505 825.0
227.237216572582 824.0
227.50595092824256 829.0
227.7746776948489 834.0
228.04339687191796 829.0
228.31210845896663 824.0
228.5808124555117 837.0
228.84950886107015 852.0
229.11819767515877 845.0
229.38687889729442 845.0
229.65555252699397 830.0
229.92421856377433 823.0
230.1928770071524 819.0
230.46152785664492 841.0
230.73017111176884 850.0
230.99880677204106 842.0
231.26743483697837 830.0
231.53605530609772 809.0
231.8046681789159 838.0
232.07327345494983 853.0
232.34187113371638 833.0
232.61046121473237 822.0
232.87904369751473 826.0
233.14761858158028 838.0
233.41618586644586 836.0
233.68474555162845 828.0
233.95329763664483 823.0
234.2218421210119 844.0
234.49037900424648 851.0
234.7589082858655 834.0
235.02742996538583 822.0
235.29594404232427 827.0
235.56445051619772 830.0
235.8329493865231 835.0
236.10144065281722 839.0
236.36992431459691 834.0
236.63840037137916 819.0
236.9068688226808 825.0
237.1753296680186 810.0
237.44378290690955 834.0
237.7122285388704 845.0
237.9806665634181 829.0
238.24909698006957 825.0
238.51751978834153 828.0
238.78593498775095 825.0
239.0543425778147 836.0
239.32274255804958 818.0
239.59113492797255 816.0
239.8595196871004 826.0
240.12789683495004 824.0
240.3962663710383 834.0
240.66462829488208 848.0
240.93298260599826 825.0
241.2013293039037 827.0
241.46966838811522 835.0
241.73799985814978 826.0
242.00632371352418 842.0
242.27463995375527 829.0
242.54294857835998 829.0
242.81124958685515 845.0
243.07954297875764 813.0
243.34782875358434 833.0
243.61610691085207 837.0
243.88437745007772 831.0
244.15264037077822 837.0
244.42089567247035 843.0
244.68914335467105 821.0
244.95738341689716 852.0
245.2256158586655 843.0
245.493840679493 826.0
245.76205787889654 849.0
246.03026745639292 837.0
246.29846941149904 833.0
246.5666637437318 840.0
246.834850452608 840.0
247.1030295376446 837.0
247.37120099835838 837.0
247.63936483426627 863.0
247.9075210448851 840.0
248.17566962973177 817.0
248.4438105883231 837.0
248.71194392017603 832.0
248.98006962480733 831.0
