shot=134_gas=Ar_height=90_RF=148.2W_massflow=1000_coils=80.1A_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 822.0
195.2037815346219 777.0
195.47341553816543 795.0
195.74304201014752 788.0
196.012660950085 797.0
196.28227235749478 810.0
196.55187623189366 807.0
196.82147257279857 790.0
197.09106137972637 805.0
197.36064265219392 816.0
197.63021638971804 807.0
197.89978259181567 798.0
198.16934125800364 803.0
198.43889238779886 802.0
198.7084359807181 822.0
198.97797203627835 814.0
199.2475005539964 805.0
199.51702153338914 792.0
199.78653497397343 803.0
200.05604087526618 814.0
200.3255392367842 799.0
200.59503005804436 804.0
200.8645133385636 798.0
201.1339890778587 808.0
201.4034572754466 812.0
201.67291793084408 814.0
201.94237104356813 811.0
202.21181661313554 807.0
202.48125463906314 798.0
202.7506851208679 805.0
203.02010805806663 813.0
203.28952345017618 821.0
203.55893129671344 810.0
203.8283315971953 808.0
204.0977243511386 808.0
204.3671095580602 802.0
204.636487217477 804.0
204.90585732890585 805.0
205.17521989186366 811.0
205.44457490586717 816.0
205.7139223704334 820.0
205.98326228507918 808.0
206.2525946493213 813.0
206.5219194626767 801.0
206.79123672466224 804.0
207.06054643479476 813.0
207.32984859259116 811.0
207.59914319756828 814.0
207.86843024924303 798.0
208.13770974713225 811.0
208.40698169075276 822.0
208.6762460796215 814.0
208.94550291325532 815.0
209.2147521911711 807.0
209.48399391288567 799.0
209.75322807791594 809.0
210.02245468577874 818.0
210.29167373599094 797.0
210.56088522806942 808.0
210.83008916153108 810.0
211.09928553589276 803.0
211.3684743506713 829.0
211.63765560538363 817.0
211.9068292995466 796.0
212.175995432677 803.0
212.44515400429182 824.0
212.71430501390782 817.0
212.98344846104192 810.0
213.25258434521103 817.0
213.52171266593191 816.0
213.79083342272153 805.0
214.05994661509675 801.0
214.3290522425744 819.0
214.5981503046713 798.0
214.8672408009044 795.0
215.13632373079054 804.0
215.4053990938466 805.0
215.6744668895894 821.0
215.94352711753592 816.0
216.21257977720293 809.0
216.48162486810728 793.0
216.7506623897659 804.0
217.01969234169565 818.0
217.2887147234134 814.0
217.55772953443596 815.0
217.82673677428028 814.0
218.0957364424632 817.0
218.36472853850154 802.0
218.6337130619122 808.0
218.9026900122121 818.0
219.17165938891804 809.0
219.4406211915469 809.0
219.70957541961562 806.0
219.97852207264097 797.0
220.24746115013983 820.0
220.5163926516291 820.0
220.78531657662566 824.0
221.05423292464639 810.0
221.32314169520808 806.0
221.59204288782766 809.0
221.860936502022 825.0
222.12982253730797 807.0
222.39870099320237 802.0
222.66757186922214 807.0
222.93643516488416 813.0
223.20529087970525 798.0
223.47413901320226 818.0
223.74297956489212 815.0
224.01181253429166 819.0
224.28063792091777 808.0
224.5494557242873 805.0
224.8182659439171 811.0
225.08706857932413 800.0
225.35586363002508 813.0
225.62465109553705 805.0
225.89343097537673 815.0
226.16220326906105 806.0
226.43096797610687 821.0
226.69972509603105 813.0
226.9684746283505 807.0
227.237216572582 809.0
227.50595092824256 804.0
227.7746776948489 797.0
228.04339687191796 811.0
228.31210845896663 823.0
228.5808124555117 808.0
228.84950886107015 815.0
229.11819767515877 817.0
229.38687889729442 826.0
229.65555252699397 812.0
229.92421856377433 819.0
230.1928770071524 797.0
230.46152785664492 808.0
230.73017111176884 801.0
230.99880677204106 811.0
231.26743483697837 807.0
231.53605530609772 824.0
231.8046681789159 820.0
232.07327345494983 808.0
232.34187113371638 808.0
232.61046121473237 809.0
232.87904369751473 809.0
233.14761858158028 813.0
233.41618586644586 809.0
233.68474555162845 812.0
233.95329763664483 807.0
234.2218421210119 813.0
234.49037900424648 812.0
234.7589082858655 803.0
235.02742996538583 807.0
235.29594404232427 820.0
235.56445051619772 805.0
235.8329493865231 806.0
236.10144065281722 816.0
236.36992431459691 808.0
236.63840037137916 820.0
236.9068688226808 813.0
237.1753296680186 808.0
237.44378290690955 807.0
237.7122285388704 822.0
237.9806665634181 824.0
238.24909698006957 827.0
238.51751978834153 810.0
238.78593498775095 801.0
239.0543425778147 811.0
