shot=160_gas=Ar_height=110_RF=247.5W_massflow=1000_coils=80.1A_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 810.0
195.2037815346219 789.0
195.47341553816543 799.0
195.74304201014752 793.0
196.012660950085 811.0
196.28227235749478 821.0
196.55187623189366 804.0
196.82147257279857 806.0
197.09106137972637 808.0
197.36064265219392 824.0
197.63021638971804 821.0
197.89978259181567 827.0
198.16934125800364 812.0
198.43889238779886 823.0
198.7084359807181 831.0
198.97797203627835 817.0
199.2475005539964 817.0
199.51702153338914 816.0
199.78653497397343 823.0
200.05604087526618 815.0
200.3255392367842 806.0
200.59503005804436 813.0
200.8645133385636 822.0
201.1339890778587 809.0
201.4034572754466 805.0
201.67291793084408 812.0
201.94237104356813 815.0
202.21181661313554 832.0
202.48125463906314 819.0
202.7506851208679 826.0
203.02010805806663 817.0
203.28952345017618 832.0
203.55893129671344 828.0
203.8283315971953 821.0
204.0977243511386 825.0
204.3671095580602 833.0
204.636487217477 816.0
204.90585732890585 818.0
205.17521989186366 818.0
205.44457490586717 820.0
205.7139223704334 804.0
205.98326228507918 824.0
206.2525946493213 826.0
206.5219194626767 810.0
206.79123672466224 802.0
207.06054643479476 818.0
207.32984859259116 828.0
207.59914319756828 821.0
207.86843024924303 812.0
208.13770974713225 828.0
208.40698169075276 813.0
208.6762460796215 828.0
208.94550291325532 833.0
209.2147521911711 811.0
209.48399391288567 815.0
209.75322807791594 802.0
210.02245468577874 805.0
210.29167373599094 814.0
210.56088522806942 810.0
210.83008916153108 813.0
211.09928553589276 811.0
211.3684743506713 815.0
211.63765560538363 827.0
211.9068292995466 826.0
212.175995432677 808.0
212.44515400429182 807.0
212.71430501390782 821.0
212.98344846104192 815.0
213.25258434521103 824.0
213.52171266593191 807.0
213.79083342272153 809.0
214.05994661509675 815.0
214.3290522425744 813.0
214.5981503046713 816.0
214.8672408009044 807.0
215.13632373079054 814.0
215.4053990938466 810.0
215.6744668895894 809.0
215.94352711753592 820.0
216.21257977720293 826.0
216.48162486810728 806.0
216.7506623897659 806.0
217.01969234169565 828.0
217.2887147234134 825.0
217.55772953443596 828.0
217.82673677428028 825.0
218.0957364424632 828.0
218.36472853850154 825.0
218.6337130619122 817.0
218.9026900122121 817.0
219.17165938891804 811.0
219.4406211915469 828.0
219.70957541961562 822.0
219.97852207264097 803.0
220.24746115013983 818.0
220.5163926516291 825.0
220.78531657662566 819.0
221.05423292464639 814.0
221.32314169520808 820.0
221.59204288782766 820.0
221.860936502022 816.0
222.12982253730797 826.0
222.39870099320237 806.0
222.66757186922214 812.0
222.93643516488416 822.0
223.20529087970525 828.0
223.47413901320226 827.0
223.74297956489212 812.0
224.01181253429166 813.0
224.28063792091777 823.0
224.5494557242873 807.0
224.8182659439171 816.0
225.08706857932413 813.0
225.35586363002508 822.0
225.62465109553705 823.0
225.89343097537673 804.0
226.16220326906105 835.0
226.43096797610687 821.0
226.69972509603105 808.0
226.9684746283505 830.0
227.237216572582 825.0
227.50595092824256 821.0
227.7746776948489 796.0
228.04339687191796 795.0
228.31210845896663 802.0
228.5808124555117 803.0
228.84950886107015 827.0
229.11819767515877 821.0
229.38687889729442 823.0
229.65555252699397 825.0
229.92421856377433 825.0
230.1928770071524 813.0
230.46152785664492 830.0
230.73017111176884 809.0
230.99880677204106 817.0
231.26743483697837 820.0
231.53605530609772 817.0
231.8046681789159 814.0
232.07327345494983 813.0
232.34187113371638 839.0
232.61046121473237 821.0
232.87904369751473 825.0
233.14761858158028 813.0
233.41618586644586 809.0
233.68474555162845 824.0
233.95329763664483 830.0
234.2218421210119 836.0
234.49037900424648 837.0
234.7589082858655 829.0
235.02742996538583 804.0
235.29594404232427 825.0
235.56445051619772 814.0
235.8329493865231 822.0
236.10144065281722 814.0
236.36992431459691 810.0
236.63840037137916 814.0
236.9068688226808 799.0
237.1753296680186 811.0
237.44378290690955 813.0
237.7122285388704 814.0
237.9806665634181 815.0
238.24909698006957 824.0
238.51751978834153 818.0
238.78593498775095 818.0
239.0543425778147 838.0
239.32274255804958 821.0
239.59113492797255 834.0
239.8595196871004 823.0
240.12789683495004 813.0
240.3962663710383 805.0
240.66462829488208 807.0
240.93298260599826 816.0
241.2013293039037 824.0
241.46966838811522 812.0
241.73799985814978 805.0
242.00632371352418 826.0
242.27463995375527 822.0
242.54294857835998 800.0
242.81124958685515 814.0
243.07954297875764 814.0
243.34782875358434 814.0
243.61610691085207 824.0
243.88437745007772 835.0
244.15264037077822 811.0
244.42089567247035 813.0
244.68914335467105 807.0
244.95738341689716 822.0
245.2256158586655 836.0
245.493840679493 818.0
245.76205787889654 823.0
246.03026745639292 796.0
246.29846941149904 813.0
246.5666637437318 837.0
246.834850452608 817.0
247.1030295376446 809.0
247.37120099835838 830.0
247.63936483426627 812.0
247.9075210448851 824.0
248.17566962973177 829.0
