shot=180_gas=Ar_height=40_RF=215.6W_massflow=1000_coils=100.0A_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 832.0
195.2037815346219 796.0
195.47341553816543 811.0
195.74304201014752 810.0
196.012660950085 826.0
196.28227235749478 813.0
196.55187623189366 817.0
196.82147257279857 820.0
197.09106137972637 821.0
197.36064265219392 820.0
197.63021638971804 842.0
197.89978259181567 850.0
198.16934125800364 837.0
198.43889238779886 814.0
198.7084359807181 821.0
198.97797203627835 834.0
199.2475005539964 821.0
199.51702153338914 826.0
199.78653497397343 841.0
200.05604087526618 837.0
200.3255392367842 824.0
200.59503005804436 815.0
200.8645133385636 813.0
201.1339890778587 820.0
201.4034572754466 829.0
201.67291793084408 812.0
201.94237104356813 824.0
202.21181661313554 837.0
202.48125463906314 824.0
202.7506851208679 822.0
203.02010805806663 828.0
203.28952345017618 826.0
203.55893129671344 833.0
203.8283315971953 814.0
204.0977243511386 829.0
204.3671095580602 817.0
204.636487217477 835.0
204.90585732890585 830.0
205.17521989186366 828.0
205.44457490586717 834.0
205.7139223704334 829.0
205.98326228507918 818.0
206.2525946493213 830.0
206.5219194626767 840.0
206.79123672466224 835.0
207.06054643479476 814.0
207.32984859259116 822.0
207.59914319756828 833.0
207.86843024924303 842.0
208.13770974713225 827.0
208.40698169075276 844.0
208.6762460796215 823.0
208.94550291325532 842.0
209.2147521911711 816.0
209.48399391288567 834.0
209.75322807791594 819.0
210.02245468577874 821.0
210.29167373599094 814.0
210.56088522806942 823.0
210.83008916153108 838.0
211.09928553589276 830.0
211.3684743506713 835.0
211.63765560538363 837.0
211.9068292995466 817.0
212.175995432677 819.0
212.44515400429182 819.0
212.71430501390782 821.0
212.98344846104192 827.0
213.25258434521103 838.0
213.52171266593191 809.0
213.79083342272153 817.0
214.05994661509675 825.0
214.3290522425744 827.0
214.5981503046713 831.0
214.8672408009044 829.0
215.13632373079054 829.0
215.4053990938466 812.0
215.6744668895894 808.0
215.94352711753592 817.0
216.21257977720293 820.0
216.48162486810728 829.0
216.7506623897659 829.0
217.01969234169565 829.0
217.2887147234134 838.0
217.55772953443596 836.0
217.82673677428028 823.0
218.0957364424632 814.0
218.36472853850154 825.0
218.6337130619122 826.0
218.9026900122121 833.0
219.17165938891804 824.0
219.4406211915469 824.0
219.70957541961562 822.0
219.97852207264097 817.0
220.24746115013983 825.0
220.5163926516291 821.0
220.78531657662566 840.0
221.05423292464639 821.0
221.32314169520808 830.0
221.59204288782766 831.0
221.860936502022 824.0
222.12982253730797 811.0
222.39870099320237 824.0
222.66757186922214 820.0
222.93643516488416 830.0
223.20529087970525 816.0
223.47413901320226 830.0
223.74297956489212 817.0
224.01181253429166 827.0
224.28063792091777 824.0
224.5494557242873 828.0
224.8182659439171 823.0
225.08706857932413 823.0
225.35586363002508 828.0
225.62465109553705 827.0
225.89343097537673 825.0
226.16220326906105 818.0
226.43096797610687 831.0
226.69972509603105 821.0
226.9684746283505 817.0
227.237216572582 808.0
227.50595092824256 830.0
227.7746776948489 827.0
228.04339687191796 826.0
228.31210845896663 832.0
228.5808124555117 827.0
228.84950886107015 851.0
229.11819767515877 826.0
229.38687889729442 809.0
229.65555252699397 816.0
229.92421856377433 831.0
230.1928770071524 824.0
230.46152785664492 833.0
230.73017111176884 839.0
230.99880677204106 822.0
231.26743483697837 821.0
231.53605530609772 825.0
231.8046681789159 835.0
232.07327345494983 834.0
232.34187113371638 822.0
232.61046121473237 837.0
232.87904369751473 825.0
233.14761858158028 823.0
233.41618586644586 825.0
233.68474555162845 822.0
233.95329763664483 834.0
234.2218421210119 832.0
234.49037900424648 828.0
234.7589082858655 808.0
235.02742996538583 813.0
235.29594404232427 820.0
235.56445051619772 820.0
235.8329493865231 805.0
236.10144065281722 832.0
236.36992431459691 816.0
236.63840037137916 824.0
236.9068688226808 823.0
237.1753296680186 834.0
237.44378290690955 831.0
237.7122285388704 828.0
237.9806665634181 831.0
238.24909698006957 828.0
238.51751978834153 817.0
238.78593498775095 821.0
239.0543425778147 828.0
239.32274255804958 829.0
239.59113492797255 829.0
239.8595196871004 819.0
240.12789683495004 823.0
240.3962663710383 821.0
240.66462829488208 849.0
240.93298260599826 826.0
241.2013293039037 828.0
241.46966838811522 825.0
241.73799985814978 813.0
242.00632371352418 825.0
242.27463995375527 827.0
242.54294857835998 827.0
242.81124958685515 829.0
243.07954297875764 836.0
243.34782875358434 818.0
243.61610691085207 817.0
243.88437745007772 819.0
244.15264037077822 823.0
244.42089567247035 809.0
244.68914335467105 818.0
244.95738341689716 826.0
245.2256158586655 821.0
245.493840679493 829.0
245.76205787889654 833.0
246.03026745639292 819.0
246.29846941149904 824.0
246.5666637437318 825.0
246.834850452608 830.0
247.1030295376446 818.0
247.37120099835838 811.0
247.63936483426627 827.0
247.9075210448851 817.0
248.17566962973177 820.0
248.4438105883231 830.0
248.71194392017603 821.0
248.98006962480733 835.0
249.248187701734 826.0
249.51629815047275 825.0
249.78440097054056 823.0
250.05249616145431 817.0
250.32058372273076 816.0
250.5886636538869 826.0
250.85673595443953 816.0
251.12480062390551 833.0
251.39285766180177 834.0
251.6609070676451 828.0
251.92894884095242 830.0
252.19698298124058 832.0
252.46500948802645 834.0
252.73302836082692 824.0
253.00103959915882 833.0
253.26904320253902 822.0
253.53703917048443 834.0
253.80502750251188 820.0
254.07300819813827 827.0
254.34098125688044 837.0
254.60894667825525 830.0
254.87690446177962 815.0
255.14485460697037 826.0
255.41279711334434 825.0
255.6807319804185 834.0
255.94865920770962 830.0
256.2165787947346 835.0
256.48449074101035 837.0
256.75239504605366 819.0
257.02029170938147 817.0
257.28818073051065 817.0
257.556062108958 813.0
257.8239358442404 821.0
258.0918019358748 828.0
258.35966038337796 826.0
258.6275111862668 823.0
258.8953543440582 829.0
259.163189856269 833.0
259.4310177224162 832.0
259.6988379420164 837.0
259.9666505145867 849.0
260.23445543964385 814.0
260.50225271670473 826.0
260.77004234528624 829.0
261.03782432490533 820.0
261.3055986550787 829.0
261.5733653353234 818.0
261.8411243651561 825.0
262.1088757440937 822.0
262.37661947165327 819.0
262.6443555473515 820.0
262.9120839707053 824.0
263.1798047412315 840.0
263.44751785844704 822.0
263.7152233218687 832.0
263.98292113101354 827.0
264.2506112853982 826.0
264.51829378453965 819.0
264.7859686279547 829.0
265.05363581516025 821.0
265.32129534567326 827.0
265.5889472190105 815.0
265.8565914346889 818.0
266.1242279922252 828.0
266.39185689113634 829.0
266.65947813093925 830.0
266.9270917111508 821.0
267.19469763128774 834.0
267.46229589086704 826.0
267.72988648940554 827.0
267.9974694264201 826.0
268.2650447014276 835.0
268.53261231394487 830.0
268.80017226348883 818.0
269.0677245495763 818.0
269.3352691717242 822.0
269.60280612944933 835.0
269.8703354222686 819.0
270.13785704969894 830.0
270.40537101125716 825.0
270.67287730646007 820.0
270.9403759348246 834.0
271.2078668958677 832.0
271.47535018910605 814.0
271.7428258140567 825.0
272.01029377023633 833.0
272.2777540571619 814.0
272.5452066743504 818.0
272.81265162131854 823.0
273.08008889758327 825.0
273.34751850266144 808.0
273.6149404360698 824.0
273.8823546973254 809.0
274.1497612859451 823.0
274.4171602014456 832.0
274.6845514433439 818.0
274.95193501115676 817.0
275.2193109044012 819.0
275.486679122594 829.0
275.7540396652521 823.0
276.02139253189216 818.0
276.2887377220313 819.0
276.55607523518626 833.0
276.82340507087395 820.0
277.09072722861123 838.0
277.3580417079149 839.0
277.62534850830195 834.0
277.8926476292892 830.0
278.1599390703934 821.0
278.4272228311316 812.0
278.69449891102056 816.0
278.96176730957717 821.0
279.22902802631836 832.0
279.4962810607609 841.0
279.76352641242164 845.0
280.0307640808177 823.0
280.29799406546556 814.0
280.5652163658824 813.0
280.8324309815849 819.0
281.09963791209003 825.0
281.3668371569146 805.0
281.6340287155756 811.0
281.9012125875897 820.0
282.168388772474 813.0
282.4355572697452 817.0
282.7027180789201 822.0
282.9698711995158 811.0
283.23701663104896 809.0
283.50415437303667 817.0
283.77128442499554 811.0
284.0384067864426 824.0
284.3055214568946 822.0
284.57262843586864 828.0
284.8397277228814 830.0
285.1068193174497 821.0
285.37390321909055 837.0
285.6409794273207 836.0
285.9080479416572 824.0
286.1751087616167 829.0
286.4421618867162 837.0
286.7092073164725 828.0
286.9762450504025 824.0
287.24327508802315 830.0
287.5102974288511 826.0
287.77731207240345 824.0
288.04431901819703 808.0
288.3113182657485 809.0
288.578309814575 828.0
288.84529366419326 817.0
289.1122698141201 825.0
289.37923826387254 825.0
289.6461990129674 840.0
289.91315206092133 829.0
290.18009740725154 836.0
290.44703505147464 839.0
290.7139649931077 818.0
290.98088723166734 821.0
291.24780176667065 812.0
291.5147085976344 832.0
291.78160772407557 837.0
292.04849914551085 812.0
292.3153828614572 810.0
292.58225887143146 818.0
292.8491271749505 824.0
293.1159877715313 833.0
293.3828406606906 826.0
293.6496858419453 836.0
293.9165233148123 822.0
294.1833530788084 830.0
294.4501751334505 819.0
294.71698947825547 820.0
294.9837961127402 820.0
295.2505950364216 817.0
295.5173862488164 811.0
295.78416974944156 827.0
296.050945537814 798.0
296.31771361345045 822.0
296.584473975868 832.0
296.8512266245832 832.0
297.11797155911313 817.0
297.38470877897464 826.0
297.6514382836846 825.0
297.9181600727598 820.0
298.18487414571723 816.0
298.4515805020736 816.0
298.71827914134593 820.0
298.9849700630511 822.0
299.2516532667058 816.0
299.518328751827 819.0
299.78499651793163 820.0
300.0516565645365 828.0
300.3183088911584 818.0
300.58495349731436 816.0
300.8515903825211 817.0
301.1182195462956 818.0
301.3848409881546 824.0
301.65145470761513 831.0
301.91806070419403 823.0
302.184658977408 833.0
302.4512495267741 824.0
302.7178323518091 818.0
302.9844074520298 814.0
303.2509748269532 828.0
303.5175344760962 818.0
303.78408639897555 824.0
304.0506305951082 830.0
304.31716706401096 843.0
304.58369580520065 823.0
304.8502168181943 827.0
305.1167301025086 836.0
305.3832356576606 825.0
305.649733483167 823.0
305.9162235785447 816.0
306.1827059433106 840.0
306.4491805769817 836.0
306.7156474790747 824.0
306.98210664910647 820.0
307.2485580865939 829.0
307.5150017910539 821.0
307.7814377620034 830.0
308.0478659989591 806.0
308.31428650143795 839.0
308.58069926895683 839.0
308.8471043010326 820.0
309.1135015971821 824.0
309.37989115692227 829.0
309.6462729797699 824.0
309.91264706524197 829.0
310.1790134128551 830.0
310.4453720221265 824.0
310.71172289257277 828.0
310.97806602371094 823.0
311.2444014150577 825.0
311.5107290661301 809.0
311.777048976445 835.0
312.04336114551904 825.0
312.30966557286945 827.0
312.5759622580128 824.0
312.8422512004661 816.0
313.1085323997461 827.0
313.3748058553698 830.0
313.641071566854 818.0
313.90732953371554 814.0
314.17357975547145 828.0
314.4398222316384 831.0
314.70605696173334 810.0
314.9722839452731 836.0
315.23850318177466 824.0
315.50471467075477 811.0
315.7709184117303 808.0
316.0371144042182 825.0
316.3033026477353 833.0
316.56948314179846 830.0
316.8356558859246 830.0
317.1018208796305 811.0
317.36797812243304 820.0
317.6341276138491 829.0
317.90026935339563 830.0
318.1664033405894 844.0
318.4325295749473 821.0
318.6986480559862 826.0
318.96475878322303 815.0
319.2308617561746 825.0
319.4969569743577 831.0
319.76304443728935 817.0
320.0291241444864 820.0
320.2951960954656 812.0
320.5612602897438 838.0
320.82731672683815 814.0
321.0933654062652 822.0
321.359406327542 808.0
321.6254394901853 816.0
321.891464893712 830.0
322.157482537639 824.0
322.4234924214832 822.0
322.68949454476143 834.0
322.95548890699064 820.0
323.2214755076875 823.0
323.487454346369 816.0
323.753425422552 817.0
324.01938873575347 815.0
324.2853442854901 830.0
324.55129207127885 843.0
324.8172320926366 822.0
325.08316434908016 827.0
325.34908884012646 833.0
325.61500556529234 819.0
325.8809145240947 833.0
326.14681571605024 833.0
326.4127091406761 817.0
326.6785947974889 820.0
326.9444726860058 833.0
327.2103428057433 829.0
327.47620515621855 835.0
327.74205973694836 839.0
328.00790654744947 820.0
328.2737455872389 840.0
328.5395768558335 824.0
328.80540035275004 829.0
329.0712160775054 827.0
329.33702402961654 829.0
329.6028242086002 805.0
329.86861661397353 825.0
330.13440124525306 841.0
330.4001781019559 811.0
330.66594718359863 829.0
330.9317084896984 838.0
331.19746201977205 834.0
331.46320777333636 817.0
331.7289457499082 839.0
331.9946759490044 827.0
332.2603983701419 824.0
332.5261130128375 825.0
332.79181987660826 832.0
333.05751896097087 822.0
333.3232102654422 817.0
333.58889378953916 824.0
333.85456953277856 815.0
334.1202374946774 811.0
334.38589767475247 811.0
334.6515500725206 824.0
334.9171946874987 847.0
335.18283151920355 805.0
335.4484605671522 818.0
335.7140818308614 818.0
335.97969530984807 818.0
336.245301003629 832.0
336.51089891172114 829.0
336.77648903364127 833.0
337.04207136890636 811.0
337.30764591703326 830.0
337.5732126775387 832.0
337.83877164993976 825.0
338.10432283375314 826.0
338.36986622849577 829.0
338.63540183368457 821.0
338.9009296488363 830.0
339.16644967346787 835.0
339.4319619070962 828.0
339.6974663492381 837.0
339.9629629994105 826.0
340.22845185713027 835.0
340.4939329219141 836.0
340.75940619327906 824.0
341.02487167074196 828.0
341.2903293538197 823.0
341.555779242029 826.0
341.821221334887 830.0
342.0866556319103 827.0
342.3520821326158 822.0
342.6175008365205 814.0
342.8829117431413 827.0
343.1483148519949 816.0
343.41371016259825 805.0
343.6790976744682 837.0
343.9444773871216 813.0
344.20984930007546 820.0
344.4752134128465 826.0
344.74056972495157 817.0
345.0059182359076 816.0
345.27125894523147 827.0
345.53659185244 815.0
345.80191695705014 831.0
346.0672342585787 831.0
346.3325437565426 828.0
346.5978454504585 813.0
346.8631393398436 837.0
347.1284254242145 837.0
347.3937037030882 837.0
347.6589741759816 821.0
347.92423684241146 823.0
348.1894917018946 819.0
348.4547387539481 812.0
348.71997799808867 821.0
348.9852094338332 807.0
349.2504330606986 827.0
349.51564887820166 832.0
349.7808568858593 819.0
350.0460570831885 834.0
350.31124946970584 839.0
350.57643404492853 829.0
350.84161080837316 829.0
351.1067797595568 834.0
351.3719408979961 838.0
351.63709422320824 821.0
351.90223973470984 833.0
352.16737743201776 825.0
352.43250731464894 820.0
352.69762938212034 825.0
352.9627436339487 839.0
353.2278500696509 825.0
353.49294868874387 838.0
353.7580394907444 840.0
354.02312247516943 829.0
354.28819764153576 833.0
354.55326498936034 824.0
354.81832451816 825.0
355.08337622745165 804.0
355.348420116752 821.0
355.613456185578 835.0
355.8784844334467 829.0
356.1435048598747 818.0
356.4085174643791 833.0
356.6735222464765 833.0
356.938519205684 829.0
357.2035083415184 824.0
357.46848965349653 814.0
357.73346314113536 816.0
357.9984288039516 831.0
358.2633866414622 835.0
358.528336653184 804.0
358.793278838634 821.0
359.05821319732894 825.0
359.3231397287857 820.0
359.5880584325211 817.0
359.8529693080521 835.0
360.1178723548955 831.0
360.3827675725683 836.0
360.64765496058726 815.0
360.9125345184692 812.0
361.1774062457311 823.0
361.44227014188965 819.0
361.707126206462 829.0
361.9719744389649 824.0
362.2368148389151 838.0
362.5016474058295 813.0
362.766472139225 820.0
363.0312890386186 817.0
363.296098103527 826.0
363.5608993334672 817.0
363.82569272795587 842.0
364.09047828651006 818.0
364.35525600864656 833.0
364.6200258938823 825.0
364.8847879417341 833.0
365.1495421517188 819.0
365.41428852335326 829.0
365.67902705615444 827.0
365.9437577496392 827.0
366.2084806033243 821.0
366.4731956167267 824.0
366.7379027893632 820.0
367.0026021207507 832.0
367.2672936104061 821.0
367.5319772578463 829.0
367.79665306258806 822.0
368.06132102414836 822.0
368.32598114204393 828.0
368.59063341579173 814.0
368.85527784490864 821.0
369.1199144289115 826.0
369.3845431673172 826.0
369.6491640596426 834.0
369.91377710540445 836.0
370.1783823041198 822.0
370.44297965530546 824.0
370.70756915847835 823.0
370.97215081315517 821.0
371.2367246188529 814.0
371.5012905750884 834.0
371.7658486813786 829.0
372.0303989372402 826.0
372.29494134219027 832.0
372.5594758957455 836.0
372.82400259742286 825.0
373.08852144673915 821.0
373.3530324432114 830.0
373.6175355863563 837.0
373.8820308756908 821.0
374.1465183107317 824.0
374.410997890996 813.0
374.6754696160004 820.0
374.93993348526186 835.0
375.2043894982973 824.0
375.4688376546235 823.0
375.7332779537573 827.0
375.9977103952157 818.0
376.26213497851546 819.0
376.52655170317354 823.0
376.7909605687067 837.0
