shot=92_gas=Ar_height=90_RF=215.4W_massflow=1000_coils=0.0A_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 794.0
195.2037815346219 765.0
195.47341553816543 788.0
195.74304201014752 787.0
196.012660950085 816.0
196.28227235749478 806.0
196.55187623189366 804.0
196.82147257279857 806.0
197.09106137972637 810.0
197.36064265219392 805.0
197.63021638971804 799.0
197.89978259181567 792.0
198.16934125800364 794.0
198.43889238779886 795.0
198.7084359807181 794.0
198.97797203627835 798.0
199.2475005539964 796.0
199.51702153338914 802.0
199.78653497397343 811.0
200.05604087526618 800.0
200.3255392367842 799.0
200.59503005804436 786.0
200.8645133385636 806.0
201.1339890778587 793.0
201.4034572754466 803.0
201.67291793084408 801.0
201.94237104356813 811.0
202.21181661313554 792.0
202.48125463906314 804.0
202.7506851208679 789.0
203.02010805806663 807.0
203.28952345017618 786.0
203.55893129671344 791.0
203.8283315971953 811.0
204.0977243511386 803.0
204.3671095580602 807.0
204.636487217477 803.0
204.90585732890585 801.0
205.17521989186366 809.0
205.44457490586717 802.0
205.7139223704334 795.0
205.98326228507918 798.0
206.2525946493213 806.0
206.5219194626767 813.0
206.79123672466224 812.0
207.06054643479476 806.0
207.32984859259116 788.0
207.59914319756828 798.0
207.86843024924303 798.0
208.13770974713225 796.0
208.40698169075276 804.0
208.6762460796215 800.0
208.94550291325532 807.0
209.2147521911711 814.0
209.48399391288567 810.0
209.75322807791594 783.0
210.02245468577874 795.0
210.29167373599094 813.0
210.56088522806942 796.0
210.83008916153108 784.0
211.09928553589276 801.0
211.3684743506713 794.0
211.63765560538363 804.0
211.9068292995466 801.0
212.175995432677 803.0
212.44515400429182 813.0
212.71430501390782 802.0
212.98344846104192 795.0
213.25258434521103 794.0
213.52171266593191 802.0
213.79083342272153 812.0
214.05994661509675 807.0
214.3290522425744 806.0
214.5981503046713 796.0
214.8672408009044 806.0
215.13632373079054 803.0
215.4053990938466 797.0
215.6744668895894 804.0
215.94352711753592 804.0
216.21257977720293 814.0
216.48162486810728 792.0
216.7506623897659 803.0
217.01969234169565 804.0
217.2887147234134 814.0
217.55772953443596 807.0
217.82673677428028 802.0
218.0957364424632 808.0
218.36472853850154 817.0
218.6337130619122 805.0
218.9026900122121 812.0
219.17165938891804 809.0
219.4406211915469 803.0
219.70957541961562 808.0
219.97852207264097 808.0
220.24746115013983 808.0
220.5163926516291 812.0
220.78531657662566 805.0
221.05423292464639 814.0
221.32314169520808 799.0
221.59204288782766 797.0
221.860936502022 813.0
222.12982253730797 806.0
222.39870099320237 818.0
222.66757186922214 805.0
222.93643516488416 796.0
223.20529087970525 798.0
223.47413901320226 804.0
223.74297956489212 798.0
224.01181253429166 796.0
224.28063792091777 806.0
224.5494557242873 785.0
224.8182659439171 804.0
225.08706857932413 813.0
225.35586363002508 808.0
225.62465109553705 796.0
225.89343097537673 796.0
226.16220326906105 816.0
226.43096797610687 808.0
226.69972509603105 810.0
226.9684746283505 804.0
227.237216572582 792.0
227.50595092824256 822.0
227.7746776948489 803.0
228.04339687191796 783.0
228.31210845896663 805.0
228.5808124555117 793.0
228.84950886107015 794.0
229.11819767515877 803.0
229.38687889729442 816.0
229.65555252699397 800.0
229.92421856377433 799.0
230.1928770071524 798.0
230.46152785664492 788.0
230.73017111176884 818.0
230.99880677204106 793.0
231.26743483697837 807.0
231.53605530609772 812.0
231.8046681789159 815.0
232.07327345494983 816.0
232.34187113371638 797.0
232.61046121473237 807.0
232.87904369751473 796.0
233.14761858158028 801.0
233.41618586644586 793.0
233.68474555162845 813.0
233.95329763664483 807.0
234.2218421210119 807.0
234.49037900424648 809.0
234.7589082858655 809.0
235.02742996538583 813.0
235.29594404232427 794.0
235.56445051619772 808.0
235.8329493865231 803.0
236.10144065281722 809.0
236.36992431459691 807.0
236.63840037137916 803.0
236.9068688226808 799.0
237.1753296680186 794.0
237.44378290690955 792.0
237.7122285388704 799.0
237.9806665634181 810.0
238.24909698006957 805.0
238.51751978834153 821.0
238.78593498775095 805.0
239.0543425778147 812.0
239.32274255804958 803.0
239.59113492797255 802.0
239.8595196871004 805.0
240.12789683495004 811.0
240.3962663710383 809.0
240.66462829488208 802.0
240.93298260599826 798.0
241.2013293039037 807.0
241.46966838811522 805.0
241.73799985814978 805.0
242.00632371352418 826.0
242.27463995375527 807.0
242.54294857835998 820.0
242.81124958685515 816.0
243.07954297875764 823.0
243.34782875358434 788.0
243.61610691085207 798.0
243.88437745007772 805.0
244.15264037077822 800.0
244.42089567247035 810.0
244.68914335467105 811.0
244.95738341689716 807.0
245.2256158586655 805.0
245.493840679493 815.0
