shot=16_gas=Ne_height=40_RF=243.3W_massflow=8000_coils=0.0A_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 792.0
195.2037815346219 776.0
195.47341553816543 776.0
195.74304201014752 790.0
196.012660950085 796.0
196.28227235749478 808.0
196.55187623189366 800.0
196.82147257279857 800.0
197.09106137972637 807.0
197.36064265219392 814.0
197.63021638971804 810.0
197.89978259181567 813.0
198.16934125800364 798.0
198.43889238779886 819.0
198.7084359807181 816.0
198.97797203627835 796.0
199.2475005539964 791.0
199.51702153338914 808.0
199.78653497397343 805.0
200.05604087526618 814.0
200.3255392367842 800.0
200.59503005804436 805.0
200.8645133385636 813.0
201.1339890778587 804.0
201.4034572754466 819.0
201.67291793084408 814.0
201.94237104356813 806.0
202.21181661313554 807.0
202.48125463906314 824.0
202.7506851208679 798.0
203.02010805806663 809.0
203.28952345017618 805.0
203.55893129671344 810.0
203.8283315971953 800.0
204.0977243511386 792.0
204.3671095580602 809.0
204.636487217477 812.0
204.90585732890585 799.0
205.17521989186366 796.0
205.44457490586717 812.0
205.7139223704334 804.0
205.98326228507918 799.0
206.2525946493213 798.0
206.5219194626767 793.0
206.79123672466224 806.0
207.06054643479476 798.0
207.32984859259116 811.0
207.59914319756828 811.0
207.86843024924303 797.0
208.13770974713225 795.0
208.40698169075276 799.0
208.6762460796215 816.0
208.94550291325532 812.0
209.2147521911711 799.0
209.48399391288567 791.0
209.75322807791594 803.0
210.02245468577874 795.0
210.29167373599094 801.0
210.56088522806942 804.0
210.83008916153108 801.0
211.09928553589276 796.0
211.3684743506713 817.0
211.63765560538363 810.0
211.9068292995466 803.0
212.175995432677 807.0
212.44515400429182 817.0
212.71430501390782 813.0
212.98344846104192 788.0
213.25258434521103 809.0
213.52171266593191 809.0
213.79083342272153 795.0
214.05994661509675 797.0
214.3290522425744 796.0
214.5981503046713 811.0
214.8672408009044 788.0
215.13632373079054 788.0
215.4053990938466 799.0
215.6744668895894 804.0
215.94352711753592 803.0
216.21257977720293 789.0
216.48162486810728 792.0
216.7506623897659 795.0
217.01969234169565 804.0
217.2887147234134 809.0
217.55772953443596 787.0
217.82673677428028 799.0
218.0957364424632 811.0
218.36472853850154 802.0
218.6337130619122 801.0
218.9026900122121 801.0
219.17165938891804 801.0
219.4406211915469 803.0
219.70957541961562 803.0
219.97852207264097 805.0
220.24746115013983 810.0
220.5163926516291 808.0
220.78531657662566 811.0
221.05423292464639 816.0
221.32314169520808 806.0
221.59204288782766 808.0
221.860936502022 822.0
222.12982253730797 807.0
222.39870099320237 820.0
222.66757186922214 793.0
222.93643516488416 801.0
223.20529087970525 804.0
223.47413901320226 815.0
223.74297956489212 806.0
224.01181253429166 817.0
224.28063792091777 810.0
224.5494557242873 812.0
224.8182659439171 794.0
225.08706857932413 805.0
225.35586363002508 798.0
225.62465109553705 796.0
225.89343097537673 806.0
226.16220326906105 821.0
226.43096797610687 810.0
226.69972509603105 815.0
226.9684746283505 807.0
227.237216572582 793.0
227.50595092824256 820.0
227.7746776948489 820.0
228.04339687191796 803.0
228.31210845896663 819.0
228.5808124555117 805.0
228.84950886107015 826.0
229.11819767515877 805.0
229.38687889729442 805.0
229.65555252699397 798.0
229.92421856377433 818.0
230.1928770071524 813.0
230.46152785664492 813.0
230.73017111176884 807.0
230.99880677204106 814.0
231.26743483697837 803.0
231.53605530609772 807.0
231.8046681789159 801.0
