shot=159_gas=Ar_height=90_RF=247.5W_massflow=1000_coils=80.1A_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 813.0
195.2037815346219 812.0
195.47341553816543 778.0
195.74304201014752 808.0
196.012660950085 805.0
196.28227235749478 821.0
196.55187623189366 817.0
196.82147257279857 824.0
197.09106137972637 801.0
197.36064265219392 814.0
197.63021638971804 816.0
197.89978259181567 811.0
198.16934125800364 820.0
198.43889238779886 806.0
198.7084359807181 810.0
198.97797203627835 818.0
199.2475005539964 816.0
199.51702153338914 823.0
199.78653497397343 814.0
200.05604087526618 822.0
200.3255392367842 825.0
200.59503005804436 809.0
200.8645133385636 809.0
201.1339890778587 822.0
201.4034572754466 803.0
201.67291793084408 813.0
201.94237104356813 830.0
202.21181661313554 825.0
202.48125463906314 812.0
202.7506851208679 819.0
203.02010805806663 811.0
203.28952345017618 814.0
203.55893129671344 819.0
203.8283315971953 809.0
204.0977243511386 822.0
204.3671095580602 820.0
204.636487217477 818.0
204.90585732890585 810.0
205.17521989186366 804.0
205.44457490586717 828.0
205.7139223704334 815.0
205.98326228507918 813.0
206.2525946493213 827.0
206.5219194626767 829.0
206.79123672466224 825.0
207.06054643479476 822.0
207.32984859259116 824.0
207.59914319756828 809.0
207.86843024924303 814.0
208.13770974713225 813.0
208.40698169075276 817.0
208.6762460796215 818.0
208.94550291325532 814.0
209.2147521911711 819.0
209.48399391288567 802.0
209.75322807791594 831.0
210.02245468577874 820.0
210.29167373599094 826.0
210.56088522806942 815.0
210.83008916153108 812.0
211.09928553589276 808.0
211.3684743506713 810.0
211.63765560538363 822.0
211.9068292995466 811.0
212.175995432677 821.0
212.44515400429182 816.0
212.71430501390782 810.0
212.98344846104192 815.0
213.25258434521103 833.0
213.52171266593191 811.0
213.79083342272153 830.0
214.05994661509675 818.0
214.3290522425744 823.0
214.5981503046713 801.0
214.8672408009044 821.0
215.13632373079054 821.0
215.4053990938466 811.0
215.6744668895894 805.0
215.94352711753592 822.0
216.21257977720293 817.0
216.48162486810728 806.0
216.7506623897659 812.0
217.01969234169565 814.0
217.2887147234134 817.0
217.55772953443596 817.0
217.82673677428028 809.0
218.0957364424632 817.0
218.36472853850154 817.0
218.6337130619122 828.0
218.9026900122121 819.0
219.17165938891804 833.0
219.4406211915469 818.0
219.70957541961562 809.0
219.97852207264097 816.0
220.24746115013983 824.0
220.5163926516291 825.0
220.78531657662566 829.0
221.05423292464639 808.0
221.32314169520808 812.0
221.59204288782766 830.0
221.860936502022 810.0
222.12982253730797 817.0
222.39870099320237 833.0
222.66757186922214 817.0
222.93643516488416 803.0
223.20529087970525 822.0
223.47413901320226 812.0
223.74297956489212 817.0
224.01181253429166 826.0
224.28063792091777 816.0
224.5494557242873 822.0
224.8182659439171 819.0
225.08706857932413 828.0
225.35586363002508 815.0
225.62465109553705 825.0
225.89343097537673 819.0
226.16220326906105 813.0
226.43096797610687 824.0
226.69972509603105 828.0
226.9684746283505 824.0
227.237216572582 816.0
227.50595092824256 810.0
227.7746776948489 819.0
228.04339687191796 819.0
228.31210845896663 808.0
228.5808124555117 828.0
228.84950886107015 820.0
229.11819767515877 810.0
229.38687889729442 813.0
229.65555252699397 825.0
229.92421856377433 816.0
230.1928770071524 840.0
230.46152785664492 825.0
230.73017111176884 824.0
230.99880677204106 813.0
231.26743483697837 809.0
231.53605530609772 812.0
231.8046681789159 814.0
232.07327345494983 807.0
232.34187113371638 823.0
232.61046121473237 814.0
232.87904369751473 835.0
233.14761858158028 845.0
233.41618586644586 813.0
233.68474555162845 823.0
233.95329763664483 822.0
234.2218421210119 825.0
234.49037900424648 811.0
234.7589082858655 821.0
235.02742996538583 800.0
235.29594404232427 814.0
235.56445051619772 812.0
235.8329493865231 822.0
236.10144065281722 824.0
236.36992431459691 811.0
236.63840037137916 814.0
236.9068688226808 821.0
237.1753296680186 827.0
237.44378290690955 812.0
237.7122285388704 809.0
237.9806665634181 822.0
238.24909698006957 826.0
238.51751978834153 818.0
238.78593498775095 821.0
239.0543425778147 824.0
239.32274255804958 827.0
239.59113492797255 804.0
239.8595196871004 835.0
240.12789683495004 822.0
240.3962663710383 833.0
240.66462829488208 811.0
240.93298260599826 815.0
241.2013293039037 809.0
241.46966838811522 809.0
241.73799985814978 829.0
242.00632371352418 813.0
242.27463995375527 834.0
242.54294857835998 812.0
242.81124958685515 814.0
243.07954297875764 813.0
243.34782875358434 820.0
243.61610691085207 820.0
243.88437745007772 825.0
244.15264037077822 817.0
244.42089567247035 811.0
244.68914335467105 818.0
244.95738341689716 821.0
245.2256158586655 804.0
245.493840679493 815.0
245.76205787889654 819.0
246.03026745639292 817.0
246.29846941149904 826.0
246.5666637437318 816.0
246.834850452608 836.0
247.1030295376446 821.0
247.37120099835838 820.0
247.63936483426627 825.0
247.9075210448851 809.0
248.17566962973177 803.0
248.4438105883231 813.0
248.71194392017603 803.0
248.98006962480733 813.0
249.248187701734 818.0
249.51629815047275 837.0
249.78440097054056 813.0
250.05249616145431 808.0
250.32058372273076 809.0
250.5886636538869 808.0
250.85673595443953 815.0
251.12480062390551 805.0
251.39285766180177 824.0
251.6609070676451 818.0
251.92894884095242 822.0
252.19698298124058 826.0
252.46500948802645 814.0
252.73302836082692 793.0
253.00103959915882 812.0
253.26904320253902 812.0
253.53703917048443 811.0
253.80502750251188 810.0
254.07300819813827 804.0
254.34098125688044 817.0
254.60894667825525 819.0
254.87690446177962 806.0
255.14485460697037 828.0
255.41279711334434 840.0
255.6807319804185 831.0
255.94865920770962 815.0
256.2165787947346 812.0
256.48449074101035 801.0
256.75239504605366 821.0
257.02029170938147 814.0
257.28818073051065 825.0
