shot=151_gas=Ar_height=50_RF=215.1W_massflow=1000_coils=80.1A_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 801.0
195.2037815346219 795.0
195.47341553816543 814.0
195.74304201014752 811.0
196.012660950085 803.0
196.28227235749478 817.0
196.55187623189366 801.0
196.82147257279857 820.0
197.09106137972637 804.0
197.36064265219392 797.0
197.63021638971804 794.0
197.89978259181567 799.0
198.16934125800364 794.0
198.43889238779886 809.0
198.7084359807181 803.0
198.97797203627835 801.0
199.2475005539964 803.0
199.51702153338914 825.0
199.78653497397343 804.0
200.05604087526618 810.0
200.3255392367842 822.0
200.59503005804436 813.0
200.8645133385636 812.0
201.1339890778587 812.0
201.4034572754466 812.0
201.67291793084408 807.0
201.94237104356813 817.0
202.21181661313554 811.0
202.48125463906314 810.0
202.7506851208679 818.0
203.02010805806663 806.0
203.28952345017618 802.0
203.55893129671344 811.0
203.8283315971953 813.0
204.0977243511386 813.0
204.3671095580602 804.0
204.636487217477 797.0
204.90585732890585 808.0
205.17521989186366 814.0
205.44457490586717 826.0
205.7139223704334 828.0
205.98326228507918 820.0
206.2525946493213 808.0
206.5219194626767 820.0
206.79123672466224 832.0
207.06054643479476 817.0
207.32984859259116 819.0
207.59914319756828 797.0
207.86843024924303 810.0
208.13770974713225 819.0
208.40698169075276 807.0
208.6762460796215 818.0
208.94550291325532 798.0
209.2147521911711 803.0
209.48399391288567 812.0
209.75322807791594 810.0
210.02245468577874 813.0
210.29167373599094 813.0
210.56088522806942 811.0
210.83008916153108 822.0
211.09928553589276 820.0
211.3684743506713 834.0
211.63765560538363 812.0
211.9068292995466 809.0
212.175995432677 806.0
212.44515400429182 821.0
212.71430501390782 815.0
212.98344846104192 804.0
213.25258434521103 802.0
213.52171266593191 803.0
213.79083342272153 825.0
214.05994661509675 827.0
214.3290522425744 822.0
214.5981503046713 814.0
214.8672408009044 829.0
215.13632373079054 816.0
215.4053990938466 811.0
215.6744668895894 812.0
215.94352711753592 823.0
216.21257977720293 812.0
216.48162486810728 819.0
216.7506623897659 814.0
217.01969234169565 790.0
217.2887147234134 810.0
217.55772953443596 820.0
217.82673677428028 821.0
218.0957364424632 812.0
218.36472853850154 812.0
218.6337130619122 811.0
218.9026900122121 817.0
219.17165938891804 810.0
219.4406211915469 817.0
219.70957541961562 807.0
219.97852207264097 816.0
220.24746115013983 831.0
220.5163926516291 813.0
220.78531657662566 814.0
221.05423292464639 821.0
221.32314169520808 817.0
221.59204288782766 805.0
221.860936502022 823.0
222.12982253730797 833.0
222.39870099320237 837.0
222.66757186922214 822.0
222.93643516488416 809.0
223.20529087970525 805.0
223.47413901320226 815.0
223.74297956489212 826.0
224.01181253429166 822.0
224.28063792091777 807.0
224.5494557242873 813.0
224.8182659439171 809.0
225.08706857932413 836.0
225.35586363002508 810.0
225.62465109553705 816.0
225.89343097537673 813.0
226.16220326906105 813.0
226.43096797610687 794.0
226.69972509603105 804.0
226.9684746283505 800.0
227.237216572582 805.0
227.50595092824256 819.0
227.7746776948489 812.0
228.04339687191796 829.0
228.31210845896663 819.0
228.5808124555117 806.0
228.84950886107015 820.0
229.11819767515877 809.0
229.38687889729442 823.0
229.65555252699397 806.0
229.92421856377433 812.0
230.1928770071524 824.0
230.46152785664492 825.0
230.73017111176884 820.0
230.99880677204106 807.0
231.26743483697837 810.0
231.53605530609772 818.0
231.8046681789159 820.0
232.07327345494983 819.0
232.34187113371638 821.0
232.61046121473237 824.0
232.87904369751473 829.0
233.14761858158028 821.0
233.41618586644586 804.0
233.68474555162845 812.0
233.95329763664483 816.0
234.2218421210119 811.0
234.49037900424648 817.0
234.7589082858655 818.0
235.02742996538583 809.0
235.29594404232427 818.0
235.56445051619772 809.0
235.8329493865231 813.0
236.10144065281722 822.0
236.36992431459691 832.0
236.63840037137916 822.0
236.9068688226808 825.0
237.1753296680186 811.0
237.44378290690955 811.0
237.7122285388704 806.0
237.9806665634181 812.0
238.24909698006957 825.0
238.51751978834153 806.0
238.78593498775095 816.0
239.0543425778147 825.0
239.32274255804958 813.0
239.59113492797255 811.0
239.8595196871004 815.0
240.12789683495004 812.0
240.3962663710383 815.0
240.66462829488208 818.0
240.93298260599826 827.0
241.2013293039037 825.0
241.46966838811522 799.0
241.73799985814978 818.0
242.00632371352418 810.0
242.27463995375527 799.0
242.54294857835998 818.0
242.81124958685515 829.0
243.07954297875764 817.0
243.34782875358434 812.0
243.61610691085207 824.0
243.88437745007772 825.0
244.15264037077822 816.0
244.42089567247035 816.0
244.68914335467105 820.0
244.95738341689716 810.0
245.2256158586655 822.0
245.493840679493 819.0
245.76205787889654 829.0
246.03026745639292 823.0
246.29846941149904 815.0
246.5666637437318 815.0
246.834850452608 810.0
247.1030295376446 818.0
247.37120099835838 826.0
247.63936483426627 818.0
247.9075210448851 810.0
248.17566962973177 809.0
248.4438105883231 813.0
248.71194392017603 805.0
248.98006962480733 805.0
249.248187701734 815.0
249.51629815047275 810.0
249.78440097054056 821.0
250.05249616145431 822.0
250.32058372273076 825.0
250.5886636538869 823.0
250.85673595443953 815.0
251.12480062390551 805.0
251.39285766180177 807.0
251.6609070676451 823.0
251.92894884095242 799.0
252.19698298124058 814.0
252.46500948802645 813.0
252.73302836082692 822.0
253.00103959915882 807.0
253.26904320253902 800.0
253.53703917048443 824.0
253.80502750251188 818.0
254.07300819813827 814.0
254.34098125688044 814.0
254.60894667825525 808.0
254.87690446177962 809.0
255.14485460697037 820.0
255.41279711334434 805.0
255.6807319804185 799.0
255.94865920770962 821.0
256.2165787947346 816.0
256.48449074101035 823.0
256.75239504605366 813.0
257.02029170938147 809.0
257.28818073051065 823.0
257.556062108958 828.0
257.8239358442404 824.0
258.0918019358748 816.0
258.35966038337796 814.0
258.6275111862668 813.0
258.8953543440582 812.0
259.163189856269 808.0
259.4310177224162 811.0
259.6988379420164 822.0
259.9666505145867 822.0
260.23445543964385 821.0
260.50225271670473 810.0
260.77004234528624 809.0
261.03782432490533 796.0
261.3055986550787 823.0
261.5733653353234 814.0
261.8411243651561 804.0
