shot=139_gas=Ar_height=35_RF=148.2W_massflow=1000_coils=80.1A_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 810.0
195.2037815346219 774.0
195.47341553816543 795.0
195.74304201014752 787.0
196.012660950085 810.0
196.28227235749478 810.0
196.55187623189366 809.0
196.82147257279857 801.0
197.09106137972637 805.0
197.36064265219392 810.0
197.63021638971804 805.0
197.89978259181567 801.0
198.16934125800364 808.0
198.43889238779886 802.0
198.7084359807181 809.0
198.97797203627835 809.0
199.2475005539964 817.0
199.51702153338914 827.0
199.78653497397343 817.0
200.05604087526618 822.0
200.3255392367842 812.0
200.59503005804436 817.0
200.8645133385636 820.0
201.1339890778587 820.0
201.4034572754466 808.0
201.67291793084408 796.0
201.94237104356813 810.0
202.21181661313554 814.0
202.48125463906314 802.0
202.7506851208679 821.0
203.02010805806663 820.0
203.28952345017618 821.0
203.55893129671344 820.0
203.8283315971953 805.0
204.0977243511386 815.0
204.3671095580602 808.0
204.636487217477 803.0
204.90585732890585 816.0
205.17521989186366 813.0
205.44457490586717 804.0
205.7139223704334 823.0
205.98326228507918 809.0
206.2525946493213 801.0
206.5219194626767 806.0
206.79123672466224 808.0
207.06054643479476 807.0
207.32984859259116 811.0
207.59914319756828 820.0
207.86843024924303 809.0
208.13770974713225 803.0
208.40698169075276 800.0
208.6762460796215 804.0
208.94550291325532 799.0
209.2147521911711 807.0
209.48399391288567 818.0
209.75322807791594 813.0
210.02245468577874 823.0
210.29167373599094 820.0
210.56088522806942 822.0
210.83008916153108 824.0
211.09928553589276 809.0
211.3684743506713 811.0
211.63765560538363 797.0
211.9068292995466 801.0
212.175995432677 825.0
212.44515400429182 804.0
212.71430501390782 812.0
212.98344846104192 815.0
213.25258434521103 807.0
213.52171266593191 826.0
213.79083342272153 821.0
214.05994661509675 824.0
214.3290522425744 807.0
214.5981503046713 803.0
214.8672408009044 816.0
215.13632373079054 816.0
215.4053990938466 808.0
215.6744668895894 808.0
215.94352711753592 813.0
216.21257977720293 798.0
216.48162486810728 821.0
216.7506623897659 812.0
217.01969234169565 828.0
217.2887147234134 810.0
217.55772953443596 798.0
217.82673677428028 807.0
218.0957364424632 805.0
218.36472853850154 808.0
218.6337130619122 810.0
218.9026900122121 826.0
219.17165938891804 818.0
219.4406211915469 818.0
219.70957541961562 809.0
219.97852207264097 821.0
220.24746115013983 817.0
220.5163926516291 815.0
220.78531657662566 805.0
221.05423292464639 801.0
221.32314169520808 808.0
221.59204288782766 812.0
221.860936502022 821.0
222.12982253730797 809.0
222.39870099320237 827.0
222.66757186922214 812.0
222.93643516488416 823.0
223.20529087970525 829.0
223.47413901320226 817.0
223.74297956489212 822.0
224.01181253429166 805.0
224.28063792091777 825.0
224.5494557242873 811.0
224.8182659439171 805.0
225.08706857932413 805.0
225.35586363002508 813.0
225.62465109553705 826.0
225.89343097537673 810.0
226.16220326906105 818.0
226.43096797610687 805.0
226.69972509603105 812.0
226.9684746283505 814.0
227.237216572582 804.0
227.50595092824256 818.0
227.7746776948489 820.0
228.04339687191796 819.0
228.31210845896663 825.0
228.5808124555117 807.0
228.84950886107015 811.0
229.11819767515877 817.0
229.38687889729442 840.0
229.65555252699397 821.0
229.92421856377433 829.0
230.1928770071524 836.0
230.46152785664492 828.0
230.73017111176884 807.0
230.99880677204106 801.0
231.26743483697837 811.0
231.53605530609772 817.0
231.8046681789159 808.0
232.07327345494983 812.0
232.34187113371638 804.0
232.61046121473237 817.0
232.87904369751473 829.0
233.14761858158028 821.0
233.41618586644586 827.0
233.68474555162845 816.0
233.95329763664483 796.0
234.2218421210119 812.0
234.49037900424648 824.0
234.7589082858655 823.0
235.02742996538583 809.0
235.29594404232427 808.0
235.56445051619772 828.0
235.8329493865231 822.0
236.10144065281722 809.0
236.36992431459691 811.0
236.63840037137916 818.0
236.9068688226808 819.0
237.1753296680186 810.0
237.44378290690955 806.0
237.7122285388704 825.0
237.9806665634181 803.0
238.24909698006957 807.0
238.51751978834153 819.0
238.78593498775095 818.0
239.0543425778147 825.0
239.32274255804958 817.0
239.59113492797255 816.0
239.8595196871004 804.0
240.12789683495004 817.0
240.3962663710383 808.0
240.66462829488208 809.0
240.93298260599826 810.0
241.2013293039037 812.0
241.46966838811522 810.0
241.73799985814978 800.0
242.00632371352418 814.0
242.27463995375527 825.0
242.54294857835998 825.0
242.81124958685515 829.0
243.07954297875764 823.0
243.34782875358434 804.0
243.61610691085207 806.0
243.88437745007772 813.0
244.15264037077822 817.0
244.42089567247035 835.0
244.68914335467105 811.0
244.95738341689716 808.0
245.2256158586655 813.0
245.493840679493 810.0
245.76205787889654 808.0
246.03026745639292 818.0
246.29846941149904 828.0
246.5666637437318 819.0
246.834850452608 810.0
247.1030295376446 802.0
247.37120099835838 803.0
247.63936483426627 815.0
247.9075210448851 816.0
248.17566962973177 820.0
