shot=13_position=5_gas=Ne_height=80_RF=149.3W_massflow=8000_coils=60.0A_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 784.0
195.2037815346219 748.0
195.47341553816543 799.0
195.74304201014752 800.0
196.012660950085 795.0
196.28227235749478 803.0
196.55187623189366 795.0
196.82147257279857 794.0
197.09106137972637 805.0
197.36064265219392 802.0
197.63021638971804 799.0
197.89978259181567 814.0
198.16934125800364 788.0
198.43889238779886 794.0
198.7084359807181 789.0
198.97797203627835 806.0
199.2475005539964 807.0
199.51702153338914 799.0
199.78653497397343 801.0
200.05604087526618 785.0
200.3255392367842 805.0
200.59503005804436 817.0
200.8645133385636 797.0
201.1339890778587 797.0
201.4034572754466 798.0
201.67291793084408 796.0
201.94237104356813 798.0
202.21181661313554 794.0
202.48125463906314 782.0
202.7506851208679 786.0
203.02010805806663 801.0
203.28952345017618 801.0
203.55893129671344 794.0
203.8283315971953 793.0
204.0977243511386 801.0
204.3671095580602 798.0
204.636487217477 796.0
204.90585732890585 794.0
205.17521989186366 799.0
205.44457490586717 809.0
205.7139223704334 790.0
205.98326228507918 797.0
206.2525946493213 796.0
206.5219194626767 797.0
206.79123672466224 806.0
207.06054643479476 780.0
207.32984859259116 795.0
207.59914319756828 796.0
207.86843024924303 781.0
208.13770974713225 805.0
208.40698169075276 800.0
208.6762460796215 791.0
208.94550291325532 791.0
209.2147521911711 801.0
209.48399391288567 808.0
209.75322807791594 780.0
210.02245468577874 800.0
210.29167373599094 794.0
210.56088522806942 799.0
210.83008916153108 791.0
211.09928553589276 792.0
211.3684743506713 806.0
211.63765560538363 796.0
211.9068292995466 807.0
212.175995432677 792.0
212.44515400429182 801.0
212.71430501390782 794.0
212.98344846104192 799.0
213.25258434521103 795.0
213.52171266593191 802.0
213.79083342272153 792.0
214.05994661509675 804.0
214.3290522425744 796.0
214.5981503046713 792.0
214.8672408009044 792.0
215.13632373079054 805.0
215.4053990938466 805.0
215.6744668895894 795.0
215.94352711753592 795.0
216.21257977720293 800.0
216.48162486810728 815.0
216.7506623897659 804.0
217.01969234169565 786.0
217.2887147234134 801.0
217.55772953443596 793.0
217.82673677428028 798.0
218.0957364424632 805.0
218.36472853850154 799.0
218.6337130619122 805.0
218.9026900122121 790.0
219.17165938891804 798.0
219.4406211915469 802.0
219.70957541961562 803.0
219.97852207264097 796.0
220.24746115013983 815.0
220.5163926516291 813.0
220.78531657662566 805.0
221.05423292464639 788.0
221.32314169520808 790.0
221.59204288782766 796.0
221.860936502022 804.0
222.12982253730797 809.0
222.39870099320237 812.0
222.66757186922214 808.0
222.93643516488416 792.0
223.20529087970525 798.0
223.47413901320226 787.0
223.74297956489212 790.0
224.01181253429166 796.0
224.28063792091777 805.0
224.5494557242873 806.0
224.8182659439171 811.0
225.08706857932413 809.0
225.35586363002508 806.0
225.62465109553705 798.0
225.89343097537673 805.0
226.16220326906105 808.0
226.43096797610687 807.0
226.69972509603105 803.0
226.9684746283505 793.0
227.237216572582 807.0
227.50595092824256 802.0
227.7746776948489 805.0
228.04339687191796 793.0
228.31210845896663 811.0
228.5808124555117 796.0
228.84950886107015 794.0
229.11819767515877 805.0
229.38687889729442 811.0
229.65555252699397 801.0
229.92421856377433 801.0
230.1928770071524 805.0
230.46152785664492 805.0
230.73017111176884 789.0
230.99880677204106 801.0
231.26743483697837 804.0
231.53605530609772 800.0
231.8046681789159 800.0
232.07327345494983 799.0
232.34187113371638 801.0
232.61046121473237 802.0
232.87904369751473 809.0
233.14761858158028 805.0
233.41618586644586 812.0
233.68474555162845 809.0
233.95329763664483 807.0
234.2218421210119 817.0
234.49037900424648 809.0
