shot=2_position=1_gas=Ne_height=80_RF=149.4W_massflow=8000_coils=60.0A_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 797.0
195.2037815346219 796.0
195.47341553816543 817.0
195.74304201014752 791.0
196.012660950085 793.0
196.28227235749478 798.0
196.55187623189366 812.0
196.82147257279857 796.0
197.09106137972637 799.0
197.36064265219392 799.0
197.63021638971804 804.0
197.89978259181567 806.0
198.16934125800364 798.0
198.43889238779886 809.0
198.7084359807181 809.0
198.97797203627835 801.0
199.2475005539964 795.0
199.51702153338914 804.0
199.78653497397343 788.0
200.05604087526618 786.0
200.3255392367842 800.0
200.59503005804436 784.0
200.8645133385636 798.0
201.1339890778587 799.0
201.4034572754466 796.0
201.67291793084408 786.0
201.94237104356813 813.0
202.21181661313554 791.0
202.48125463906314 805.0
202.7506851208679 794.0
203.02010805806663 779.0
203.28952345017618 795.0
203.55893129671344 807.0
203.8283315971953 800.0
204.0977243511386 790.0
204.3671095580602 802.0
204.636487217477 803.0
204.90585732890585 809.0
205.17521989186366 823.0
205.44457490586717 795.0
205.7139223704334 794.0
205.98326228507918 796.0
206.2525946493213 804.0
206.5219194626767 822.0
206.79123672466224 796.0
207.06054643479476 789.0
207.32984859259116 796.0
207.59914319756828 796.0
207.86843024924303 804.0
208.13770974713225 812.0
208.40698169075276 814.0
208.6762460796215 797.0
208.94550291325532 793.0
209.2147521911711 804.0
209.48399391288567 797.0
209.75322807791594 812.0
210.02245468577874 805.0
210.29167373599094 811.0
210.56088522806942 791.0
210.83008916153108 796.0
211.09928553589276 793.0
211.3684743506713 807.0
211.63765560538363 804.0
211.9068292995466 817.0
212.175995432677 826.0
212.44515400429182 789.0
212.71430501390782 798.0
212.98344846104192 774.0
213.25258434521103 794.0
213.52171266593191 795.0
213.79083342272153 817.0
214.05994661509675 796.0
214.3290522425744 801.0
214.5981503046713 805.0
214.8672408009044 802.0
215.13632373079054 784.0
215.4053990938466 789.0
215.6744668895894 793.0
215.94352711753592 805.0
216.21257977720293 802.0
216.48162486810728 806.0
216.7506623897659 808.0
217.01969234169565 810.0
217.2887147234134 811.0
217.55772953443596 817.0
217.82673677428028 798.0
218.0957364424632 799.0
218.36472853850154 802.0
218.6337130619122 799.0
218.9026900122121 801.0
219.17165938891804 791.0
219.4406211915469 810.0
219.70957541961562 791.0
219.97852207264097 784.0
220.24746115013983 806.0
220.5163926516291 785.0
220.78531657662566 804.0
221.05423292464639 797.0
221.32314169520808 787.0
221.59204288782766 808.0
221.860936502022 790.0
222.12982253730797 805.0
222.39870099320237 800.0
222.66757186922214 818.0
222.93643516488416 814.0
223.20529087970525 809.0
223.47413901320226 814.0
223.74297956489212 804.0
224.01181253429166 801.0
224.28063792091777 788.0
224.5494557242873 795.0
224.8182659439171 808.0
225.08706857932413 799.0
225.35586363002508 807.0
225.62465109553705 798.0
225.89343097537673 803.0
226.16220326906105 804.0
226.43096797610687 792.0
226.69972509603105 808.0
226.9684746283505 810.0
227.237216572582 806.0
227.50595092824256 802.0
227.7746776948489 806.0
228.04339687191796 798.0
228.31210845896663 803.0
228.5808124555117 807.0
228.84950886107015 797.0
229.11819767515877 802.0
229.38687889729442 801.0
229.65555252699397 802.0
229.92421856377433 811.0
230.1928770071524 801.0
230.46152785664492 804.0
230.73017111176884 808.0
230.99880677204106 792.0
231.26743483697837 793.0
231.53605530609772 805.0
231.8046681789159 811.0
232.07327345494983 789.0
232.34187113371638 819.0
232.61046121473237 805.0
232.87904369751473 817.0
233.14761858158028 805.0
233.41618586644586 796.0
233.68474555162845 796.0
233.95329763664483 798.0
234.2218421210119 804.0
234.49037900424648 812.0
234.7589082858655 778.0
235.02742996538583 803.0
235.29594404232427 806.0
235.56445051619772 823.0
235.8329493865231 804.0
236.10144065281722 822.0
236.36992431459691 807.0
236.63840037137916 816.0
236.9068688226808 802.0
237.1753296680186 798.0
237.44378290690955 803.0
237.7122285388704 805.0
237.9806665634181 797.0
238.24909698006957 795.0
238.51751978834153 799.0
238.78593498775095 818.0
239.0543425778147 812.0
239.32274255804958 799.0
239.59113492797255 783.0
239.8595196871004 810.0
240.12789683495004 806.0
240.3962663710383 826.0
240.66462829488208 810.0
240.93298260599826 806.0
241.2013293039037 803.0
241.46966838811522 788.0
241.73799985814978 782.0
242.00632371352418 798.0
242.27463995375527 798.0
242.54294857835998 806.0
242.81124958685515 806.0
243.07954297875764 818.0
243.34782875358434 821.0
243.61610691085207 806.0
243.88437745007772 800.0
244.15264037077822 799.0
244.42089567247035 796.0
244.68914335467105 817.0
244.95738341689716 810.0
245.2256158586655 809.0
245.493840679493 795.0
245.76205787889654 799.0
246.03026745639292 800.0
246.29846941149904 777.0
246.5666637437318 793.0
246.834850452608 809.0
247.1030295376446 812.0
247.37120099835838 815.0
247.63936483426627 803.0
247.9075210448851 805.0
248.17566962973177 791.0
248.4438105883231 820.0
248.71194392017603 804.0
248.98006962480733 805.0
249.248187701734 793.0
249.51629815047275 795.0
249.78440097054056 801.0
250.05249616145431 802.0
250.32058372273076 808.0
250.5886636538869 795.0
250.85673595443953 805.0
251.12480062390551 819.0
251.39285766180177 801.0
251.6609070676451 818.0
251.92894884095242 793.0
252.19698298124058 787.0
252.46500948802645 797.0
252.73302836082692 794.0
253.00103959915882 802.0
253.26904320253902 818.0
253.53703917048443 801.0
253.80502750251188 803.0
254.07300819813827 791.0
254.34098125688044 802.0
254.60894667825525 820.0
254.87690446177962 798.0
255.14485460697037 806.0
255.41279711334434 806.0
255.6807319804185 809.0
255.94865920770962 806.0
256.2165787947346 823.0
256.48449074101035 804.0
256.75239504605366 793.0
257.02029170938147 803.0
257.28818073051065 781.0
257.556062108958 793.0
257.8239358442404 806.0
258.0918019358748 804.0
258.35966038337796 818.0
258.6275111862668 802.0
258.8953543440582 812.0
259.163189856269 789.0
259.4310177224162 804.0
259.6988379420164 803.0
259.9666505145867 809.0
260.23445543964385 803.0
260.50225271670473 811.0
260.77004234528624 810.0
261.03782432490533 808.0
261.3055986550787 795.0
261.5733653353234 804.0
261.8411243651561 804.0
262.1088757440937 792.0
262.37661947165327 794.0
262.6443555473515 806.0
262.9120839707053 803.0
263.1798047412315 808.0
263.44751785844704 792.0
263.7152233218687 797.0
263.98292113101354 801.0
264.2506112853982 799.0
264.51829378453965 798.0
264.7859686279547 820.0
265.05363581516025 806.0
265.32129534567326 792.0
265.5889472190105 801.0
265.8565914346889 813.0
266.1242279922252 811.0
266.39185689113634 790.0
266.65947813093925 796.0
266.9270917111508 797.0
267.19469763128774 798.0
267.46229589086704 804.0
267.72988648940554 792.0
267.9974694264201 793.0
268.2650447014276 805.0
268.53261231394487 801.0
268.80017226348883 814.0
269.0677245495763 825.0
269.3352691717242 808.0
269.60280612944933 784.0
269.8703354222686 802.0
270.13785704969894 806.0
270.40537101125716 792.0
270.67287730646007 800.0
270.9403759348246 793.0
271.2078668958677 785.0
271.47535018910605 806.0
271.7428258140567 794.0
272.01029377023633 800.0
272.2777540571619 790.0
272.5452066743504 809.0
272.81265162131854 824.0
273.08008889758327 800.0
273.34751850266144 800.0
273.6149404360698 803.0
273.8823546973254 805.0
274.1497612859451 792.0
274.4171602014456 805.0
274.6845514433439 814.0
274.95193501115676 817.0
275.2193109044012 805.0
275.486679122594 789.0
275.7540396652521 803.0
276.02139253189216 790.0
276.2887377220313 808.0
276.55607523518626 808.0
276.82340507087395 780.0
277.09072722861123 792.0
277.3580417079149 818.0
277.62534850830195 810.0
277.8926476292892 807.0
278.1599390703934 812.0
278.4272228311316 786.0
278.69449891102056 793.0
278.96176730957717 813.0
279.22902802631836 798.0
279.4962810607609 801.0
279.76352641242164 799.0
280.0307640808177 808.0
280.29799406546556 792.0
280.5652163658824 803.0
280.8324309815849 811.0
281.09963791209003 816.0
281.3668371569146 830.0
281.6340287155756 801.0
281.9012125875897 799.0
282.168388772474 817.0
282.4355572697452 811.0
282.7027180789201 803.0
282.9698711995158 805.0
283.23701663104896 808.0
283.50415437303667 804.0
283.77128442499554 800.0
284.0384067864426 812.0
284.3055214568946 813.0
284.57262843586864 801.0
284.8397277228814 808.0
