shot=38_position=7_gas=Ar_height=80_RF=149.1W_massflow=500_coils=60.0A_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 798.0
195.2037815346219 773.0
195.47341553816543 778.0
195.74304201014752 804.0
196.012660950085 792.0
196.28227235749478 798.0
196.55187623189366 806.0
196.82147257279857 805.0
197.09106137972637 794.0
197.36064265219392 797.0
197.63021638971804 800.0
197.89978259181567 779.0
198.16934125800364 799.0
198.43889238779886 798.0
198.7084359807181 797.0
198.97797203627835 799.0
199.2475005539964 809.0
199.51702153338914 804.0
199.78653497397343 782.0
200.05604087526618 801.0
200.3255392367842 816.0
200.59503005804436 797.0
200.8645133385636 806.0
201.1339890778587 811.0
201.4034572754466 798.0
201.67291793084408 794.0
201.94237104356813 808.0
202.21181661313554 801.0
202.48125463906314 802.0
202.7506851208679 809.0
203.02010805806663 801.0
203.28952345017618 797.0
203.55893129671344 785.0
203.8283315971953 810.0
204.0977243511386 790.0
204.3671095580602 804.0
204.636487217477 799.0
204.90585732890585 800.0
205.17521989186366 803.0
205.44457490586717 803.0
205.7139223704334 805.0
205.98326228507918 791.0
206.2525946493213 802.0
206.5219194626767 795.0
206.79123672466224 803.0
207.06054643479476 802.0
207.32984859259116 804.0
207.59914319756828 793.0
207.86843024924303 801.0
208.13770974713225 798.0
208.40698169075276 805.0
208.6762460796215 809.0
208.94550291325532 805.0
209.2147521911711 809.0
209.48399391288567 789.0
209.75322807791594 785.0
210.02245468577874 798.0
210.29167373599094 797.0
210.56088522806942 801.0
210.83008916153108 795.0
211.09928553589276 810.0
211.3684743506713 783.0
211.63765560538363 799.0
211.9068292995466 792.0
212.175995432677 806.0
212.44515400429182 801.0
212.71430501390782 801.0
212.98344846104192 804.0
213.25258434521103 808.0
213.52171266593191 809.0
213.79083342272153 797.0
214.05994661509675 798.0
214.3290522425744 790.0
214.5981503046713 809.0
214.8672408009044 802.0
215.13632373079054 796.0
215.4053990938466 801.0
215.6744668895894 792.0
215.94352711753592 793.0
216.21257977720293 813.0
216.48162486810728 811.0
216.7506623897659 801.0
217.01969234169565 798.0
217.2887147234134 816.0
217.55772953443596 800.0
217.82673677428028 794.0
218.0957364424632 808.0
218.36472853850154 801.0
218.6337130619122 801.0
218.9026900122121 796.0
219.17165938891804 799.0
219.4406211915469 808.0
219.70957541961562 812.0
219.97852207264097 804.0
220.24746115013983 806.0
220.5163926516291 797.0
220.78531657662566 811.0
221.05423292464639 811.0
221.32314169520808 801.0
221.59204288782766 806.0
221.860936502022 797.0
222.12982253730797 790.0
222.39870099320237 791.0
222.66757186922214 777.0
222.93643516488416 785.0
223.20529087970525 804.0
223.47413901320226 797.0
223.74297956489212 810.0
224.01181253429166 807.0
224.28063792091777 794.0
224.5494557242873 793.0
224.8182659439171 797.0
225.08706857932413 818.0
225.35586363002508 800.0
225.62465109553705 789.0
225.89343097537673 803.0
226.16220326906105 804.0
226.43096797610687 817.0
226.69972509603105 806.0
226.9684746283505 811.0
227.237216572582 804.0
227.50595092824256 789.0
227.7746776948489 795.0
228.04339687191796 803.0
228.31210845896663 803.0
228.5808124555117 804.0
228.84950886107015 800.0
229.11819767515877 809.0
229.38687889729442 799.0
229.65555252699397 801.0
229.92421856377433 801.0
230.1928770071524 803.0
230.46152785664492 801.0
230.73017111176884 793.0
230.99880677204106 804.0
231.26743483697837 791.0
231.53605530609772 797.0
231.8046681789159 806.0
232.07327345494983 803.0
232.34187113371638 804.0
232.61046121473237 791.0
232.87904369751473 793.0
233.14761858158028 811.0
233.41618586644586 806.0
233.68474555162845 778.0
233.95329763664483 788.0
234.2218421210119 812.0
234.49037900424648 796.0
234.7589082858655 810.0
235.02742996538583 801.0
235.29594404232427 789.0
235.56445051619772 793.0
235.8329493865231 797.0
236.10144065281722 800.0
236.36992431459691 791.0
236.63840037137916 798.0
236.9068688226808 807.0
237.1753296680186 802.0
237.44378290690955 796.0
237.7122285388704 780.0
237.9806665634181 789.0
238.24909698006957 788.0
238.51751978834153 792.0
238.78593498775095 805.0
239.0543425778147 791.0
239.32274255804958 812.0
239.59113492797255 809.0
239.8595196871004 804.0
240.12789683495004 786.0
240.3962663710383 804.0
240.66462829488208 796.0
240.93298260599826 796.0
241.2013293039037 793.0
241.46966838811522 781.0
241.73799985814978 803.0
242.00632371352418 805.0
242.27463995375527 824.0
242.54294857835998 813.0
242.81124958685515 799.0
243.07954297875764 798.0
243.34782875358434 806.0
243.61610691085207 805.0
243.88437745007772 812.0
244.15264037077822 813.0
244.42089567247035 802.0
244.68914335467105 804.0
244.95738341689716 792.0
245.2256158586655 806.0
245.493840679493 785.0
245.76205787889654 818.0
246.03026745639292 804.0
246.29846941149904 796.0
246.5666637437318 803.0
246.834850452608 811.0
247.1030295376446 819.0
247.37120099835838 806.0
247.63936483426627 808.0
247.9075210448851 811.0
248.17566962973177 796.0
248.4438105883231 791.0
248.71194392017603 794.0
248.98006962480733 807.0
249.248187701734 794.0
249.51629815047275 796.0
249.78440097054056 798.0
250.05249616145431 805.0
250.32058372273076 793.0
250.5886636538869 778.0
250.85673595443953 794.0
251.12480062390551 809.0
251.39285766180177 817.0
251.6609070676451 798.0
251.92894884095242 794.0
252.19698298124058 790.0
252.46500948802645 795.0
252.73302836082692 796.0
253.00103959915882 776.0
253.26904320253902 782.0
253.53703917048443 786.0
253.80502750251188 813.0
254.07300819813827 801.0
254.34098125688044 804.0
254.60894667825525 794.0
254.87690446177962 802.0
255.14485460697037 792.0
255.41279711334434 789.0
255.6807319804185 780.0
255.94865920770962 788.0
256.2165787947346 806.0
256.48449074101035 804.0
256.75239504605366 806.0
257.02029170938147 799.0
257.28818073051065 785.0
257.556062108958 792.0
257.8239358442404 806.0
258.0918019358748 798.0
258.35966038337796 797.0
258.6275111862668 792.0
258.8953543440582 805.0
259.163189856269 802.0
259.4310177224162 800.0
259.6988379420164 790.0
259.9666505145867 813.0
260.23445543964385 815.0
260.50225271670473 791.0
260.77004234528624 797.0
261.03782432490533 793.0
261.3055986550787 814.0
261.5733653353234 802.0
261.8411243651561 787.0
262.1088757440937 794.0
262.37661947165327 810.0
262.6443555473515 804.0
262.9120839707053 798.0
263.1798047412315 799.0
263.44751785844704 801.0
263.7152233218687 801.0
263.98292113101354 803.0
264.2506112853982 786.0
264.51829378453965 790.0
264.7859686279547 794.0
265.05363581516025 780.0
265.32129534567326 810.0
265.5889472190105 778.0
265.8565914346889 810.0
266.1242279922252 811.0
266.39185689113634 798.0
266.65947813093925 793.0
266.9270917111508 813.0
267.19469763128774 795.0
267.46229589086704 801.0
267.72988648940554 791.0
267.9974694264201 797.0
268.2650447014276 801.0
268.53261231394487 799.0
268.80017226348883 800.0
269.0677245495763 795.0
269.3352691717242 803.0
269.60280612944933 808.0
269.8703354222686 801.0
270.13785704969894 807.0
270.40537101125716 802.0
270.67287730646007 805.0
270.9403759348246 814.0
271.2078668958677 804.0
271.47535018910605 801.0
271.7428258140567 789.0
272.01029377023633 800.0
272.2777540571619 814.0
272.5452066743504 805.0
272.81265162131854 806.0
273.08008889758327 796.0
273.34751850266144 784.0
273.6149404360698 801.0
273.8823546973254 808.0
274.1497612859451 798.0
274.4171602014456 805.0
274.6845514433439 794.0
274.95193501115676 808.0
275.2193109044012 798.0
275.486679122594 808.0
275.7540396652521 805.0
276.02139253189216 790.0
276.2887377220313 792.0
276.55607523518626 802.0
276.82340507087395 794.0
277.09072722861123 805.0
277.3580417079149 796.0
277.62534850830195 803.0
277.8926476292892 811.0
278.1599390703934 803.0
278.4272228311316 791.0
278.69449891102056 791.0
278.96176730957717 776.0
279.22902802631836 809.0
279.4962810607609 811.0
279.76352641242164 809.0
280.0307640808177 798.0
280.29799406546556 809.0
280.5652163658824 807.0
280.8324309815849 801.0
281.09963791209003 800.0
281.3668371569146 795.0
281.6340287155756 795.0
281.9012125875897 801.0
282.168388772474 800.0
282.4355572697452 813.0
282.7027180789201 788.0
282.9698711995158 811.0
283.23701663104896 790.0
283.50415437303667 801.0
283.77128442499554 805.0
284.0384067864426 788.0
284.3055214568946 797.0
284.57262843586864 810.0
284.8397277228814 808.0
285.1068193174497 796.0
285.37390321909055 805.0
285.6409794273207 798.0
285.9080479416572 809.0
286.1751087616167 799.0
286.4421618867162 790.0
286.7092073164725 799.0
286.9762450504025 794.0
287.24327508802315 813.0
287.5102974288511 800.0
287.77731207240345 792.0
288.04431901819703 785.0
288.3113182657485 795.0
288.578309814575 784.0
288.84529366419326 807.0
289.1122698141201 806.0
289.37923826387254 785.0
289.6461990129674 809.0
289.91315206092133 803.0
290.18009740725154 799.0
290.44703505147464 798.0
290.7139649931077 802.0
290.98088723166734 810.0
291.24780176667065 795.0
291.5147085976344 799.0
291.78160772407557 792.0
292.04849914551085 794.0
292.3153828614572 797.0
292.58225887143146 807.0
292.8491271749505 787.0
293.1159877715313 805.0
293.3828406606906 807.0
293.6496858419453 809.0
293.9165233148123 804.0
294.1833530788084 804.0
294.4501751334505 801.0
294.71698947825547 786.0
294.9837961127402 796.0
295.2505950364216 814.0
295.5173862488164 804.0
295.78416974944156 798.0
296.050945537814 802.0
296.31771361345045 798.0
296.584473975868 786.0
296.8512266245832 797.0
297.11797155911313 806.0
297.38470877897464 794.0
297.6514382836846 795.0
297.9181600727598 809.0
298.18487414571723 797.0
298.4515805020736 782.0
298.71827914134593 811.0
298.9849700630511 795.0
299.2516532667058 802.0
299.518328751827 804.0
299.78499651793163 795.0
300.0516565645365 812.0
300.3183088911584 804.0
300.58495349731436 790.0
300.8515903825211 799.0
301.1182195462956 799.0
301.3848409881546 796.0
301.65145470761513 805.0
301.91806070419403 813.0
302.184658977408 808.0
302.4512495267741 812.0
302.7178323518091 794.0
302.9844074520298 798.0
303.2509748269532 797.0
303.5175344760962 795.0
303.78408639897555 800.0
304.0506305951082 801.0
304.31716706401096 792.0
304.58369580520065 803.0
304.8502168181943 792.0
305.1167301025086 785.0
305.3832356576606 822.0
305.649733483167 813.0
305.9162235785447 800.0
306.1827059433106 801.0
306.4491805769817 790.0
306.7156474790747 797.0
306.98210664910647 798.0
307.2485580865939 799.0
307.5150017910539 799.0
307.7814377620034 804.0
308.0478659989591 801.0
308.31428650143795 804.0
308.58069926895683 797.0
308.8471043010326 799.0
309.1135015971821 820.0
309.37989115692227 814.0
309.6462729797699 792.0
309.91264706524197 785.0
310.1790134128551 822.0
310.4453720221265 779.0
310.71172289257277 793.0
310.97806602371094 786.0
311.2444014150577 796.0
311.5107290661301 802.0
311.777048976445 803.0
312.04336114551904 802.0
312.30966557286945 804.0
312.5759622580128 805.0
312.8422512004661 806.0
313.1085323997461 806.0
313.3748058553698 814.0
313.641071566854 807.0
313.90732953371554 812.0
314.17357975547145 810.0
314.4398222316384 787.0
314.70605696173334 806.0
314.9722839452731 804.0
315.23850318177466 808.0
315.50471467075477 800.0
315.7709184117303 791.0
316.0371144042182 806.0
316.3033026477353 806.0
316.56948314179846 804.0
316.8356558859246 795.0
317.1018208796305 810.0
317.36797812243304 808.0
317.6341276138491 806.0
317.90026935339563 806.0
318.1664033405894 806.0
318.4325295749473 792.0
318.6986480559862 814.0
318.96475878322303 808.0
319.2308617561746 793.0
319.4969569743577 816.0
319.76304443728935 812.0
320.0291241444864 793.0
320.2951960954656 798.0
320.5612602897438 800.0
320.82731672683815 805.0
321.0933654062652 790.0
321.359406327542 817.0
321.6254394901853 804.0
321.891464893712 808.0
322.157482537639 795.0
322.4234924214832 803.0
322.68949454476143 804.0
322.95548890699064 805.0
323.2214755076875 779.0
323.487454346369 808.0
323.753425422552 800.0
324.01938873575347 802.0
324.2853442854901 806.0
324.55129207127885 813.0
324.8172320926366 796.0
325.08316434908016 799.0
325.34908884012646 792.0
325.61500556529234 809.0
325.8809145240947 796.0
326.14681571605024 799.0
326.4127091406761 812.0
326.6785947974889 784.0
326.9444726860058 812.0
327.2103428057433 808.0
327.47620515621855 792.0
327.74205973694836 817.0
328.00790654744947 796.0
328.2737455872389 805.0
328.5395768558335 796.0
328.80540035275004 803.0
329.0712160775054 806.0
329.33702402961654 805.0
329.6028242086002 793.0
329.86861661397353 797.0
330.13440124525306 802.0
330.4001781019559 808.0
330.66594718359863 816.0
330.9317084896984 805.0
331.19746201977205 798.0
331.46320777333636 804.0
331.7289457499082 795.0
331.9946759490044 804.0
332.2603983701419 793.0
332.5261130128375 782.0
332.79181987660826 812.0
333.05751896097087 806.0
333.3232102654422 805.0
333.58889378953916 806.0
333.85456953277856 791.0
334.1202374946774 816.0
334.38589767475247 805.0
334.6515500725206 799.0
334.9171946874987 807.0
335.18283151920355 816.0
335.4484605671522 807.0
335.7140818308614 795.0
335.97969530984807 806.0
336.245301003629 808.0
336.51089891172114 799.0
336.77648903364127 816.0
337.04207136890636 817.0
337.30764591703326 809.0
337.5732126775387 807.0
337.83877164993976 793.0
338.10432283375314 791.0
338.36986622849577 811.0
338.63540183368457 807.0
338.9009296488363 798.0
339.16644967346787 804.0
339.4319619070962 802.0
339.6974663492381 801.0
339.9629629994105 802.0
340.22845185713027 793.0
340.4939329219141 811.0
340.75940619327906 791.0
341.02487167074196 786.0
341.2903293538197 791.0
341.555779242029 807.0
341.821221334887 794.0
342.0866556319103 817.0
342.3520821326158 813.0
342.6175008365205 813.0
342.8829117431413 796.0
343.1483148519949 793.0
343.41371016259825 792.0
343.6790976744682 787.0
343.9444773871216 814.0
344.20984930007546 801.0
344.4752134128465 802.0
344.74056972495157 798.0
345.0059182359076 806.0
345.27125894523147 800.0
345.53659185244 792.0
345.80191695705014 812.0
346.0672342585787 803.0
346.3325437565426 802.0
346.5978454504585 795.0
346.8631393398436 794.0
347.1284254242145 790.0
347.3937037030882 807.0
347.6589741759816 798.0
347.92423684241146 811.0
348.1894917018946 798.0
348.4547387539481 813.0
348.71997799808867 810.0
348.9852094338332 813.0
349.2504330606986 794.0
349.51564887820166 805.0
349.7808568858593 805.0
350.0460570831885 807.0
350.31124946970584 806.0
350.57643404492853 806.0
350.84161080837316 802.0
351.1067797595568 799.0
351.3719408979961 791.0
351.63709422320824 802.0
351.90223973470984 809.0
352.16737743201776 802.0
352.43250731464894 799.0
352.69762938212034 807.0
352.9627436339487 798.0
353.2278500696509 788.0
353.49294868874387 803.0
353.7580394907444 800.0
354.02312247516943 791.0
354.28819764153576 805.0
354.55326498936034 799.0
354.81832451816 803.0
355.08337622745165 802.0
355.348420116752 802.0
355.613456185578 796.0
355.8784844334467 808.0
356.1435048598747 803.0
356.4085174643791 814.0
356.6735222464765 794.0
356.938519205684 786.0
357.2035083415184 809.0
357.46848965349653 794.0
357.73346314113536 793.0
357.9984288039516 804.0
358.2633866414622 796.0
358.528336653184 806.0
358.793278838634 796.0
359.05821319732894 803.0
359.3231397287857 801.0
359.5880584325211 780.0
359.8529693080521 806.0
360.1178723548955 817.0
360.3827675725683 809.0
360.64765496058726 801.0
360.9125345184692 803.0
361.1774062457311 791.0
361.44227014188965 791.0
361.707126206462 790.0
361.9719744389649 797.0
362.2368148389151 798.0
362.5016474058295 809.0
362.766472139225 791.0
363.0312890386186 789.0
363.296098103527 797.0
363.5608993334672 796.0
363.82569272795587 798.0
364.09047828651006 795.0
364.35525600864656 808.0
364.6200258938823 811.0
364.8847879417341 788.0
365.1495421517188 798.0
365.41428852335326 796.0
365.67902705615444 808.0
365.9437577496392 804.0
366.2084806033243 811.0
366.4731956167267 802.0
366.7379027893632 800.0
367.0026021207507 799.0
367.2672936104061 807.0
367.5319772578463 788.0
367.79665306258806 799.0
368.06132102414836 808.0
368.32598114204393 803.0
