78HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 816.0
195.2037815346219 757.0
195.47341553816543 789.0
195.74304201014752 793.0
196.012660950085 813.0
196.28227235749478 806.0
196.55187623189366 827.0
196.82147257279857 818.0
197.09106137972637 813.0
197.36064265219392 830.0
197.63021638971804 813.0
197.89978259181567 811.0
198.16934125800364 825.0
198.43889238779886 813.0
198.7084359807181 825.0
198.97797203627835 819.0
199.2475005539964 825.0
199.51702153338914 828.0
199.78653497397343 833.0
200.05604087526618 813.0
200.3255392367842 823.0
200.59503005804436 824.0
200.8645133385636 817.0
201.1339890778587 837.0
201.4034572754466 829.0
201.67291793084408 835.0
201.94237104356813 833.0
202.21181661313554 835.0
202.48125463906314 829.0
202.7506851208679 826.0
203.02010805806663 824.0
203.28952345017618 800.0
203.55893129671344 818.0
203.8283315971953 816.0
204.0977243511386 825.0
204.3671095580602 828.0
204.636487217477 819.0
204.90585732890585 820.0
205.17521989186366 827.0
205.44457490586717 831.0
205.7139223704334 817.0
205.98326228507918 821.0
206.2525946493213 841.0
206.5219194626767 810.0
206.79123672466224 813.0
207.06054643479476 813.0
207.32984859259116 838.0
207.59914319756828 837.0
207.86843024924303 814.0
208.13770974713225 819.0
208.40698169075276 812.0
208.6762460796215 827.0
208.94550291325532 827.0
209.2147521911711 812.0
209.48399391288567 826.0
209.75322807791594 814.0
210.02245468577874 817.0
210.29167373599094 835.0
210.56088522806942 828.0
210.83008916153108 834.0
211.09928553589276 810.0
211.3684743506713 821.0
211.63765560538363 825.0
211.9068292995466 837.0
212.175995432677 829.0
212.44515400429182 830.0
212.71430501390782 832.0
212.98344846104192 827.0
213.25258434521103 821.0
213.52171266593191 840.0
213.79083342272153 812.0
214.05994661509675 835.0
214.3290522425744 833.0
214.5981503046713 820.0
214.8672408009044 841.0
215.13632373079054 833.0
215.4053990938466 836.0
215.6744668895894 824.0
215.94352711753592 820.0
216.21257977720293 830.0
216.48162486810728 811.0
216.7506623897659 832.0
217.01969234169565 818.0
217.2887147234134 819.0
217.55772953443596 815.0
217.82673677428028 817.0
218.0957364424632 810.0
218.36472853850154 824.0
218.6337130619122 821.0
218.9026900122121 843.0
219.17165938891804 835.0
219.4406211915469 824.0
219.70957541961562 834.0
219.97852207264097 828.0
220.24746115013983 821.0
220.5163926516291 837.0
220.78531657662566 839.0
221.05423292464639 823.0
221.32314169520808 821.0
221.59204288782766 820.0
221.860936502022 820.0
222.12982253730797 827.0
222.39870099320237 834.0
