gas=Ar_shot=3_power=96.5WHR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 802.0
195.2037815346219 760.0
195.47341553816543 783.0
195.74304201014752 779.0
196.012660950085 802.0
196.28227235749478 810.0
196.55187623189366 809.0
196.82147257279857 790.0
197.09106137972637 806.0
197.36064265219392 807.0
197.63021638971804 798.0
197.89978259181567 814.0
198.16934125800364 810.0
198.43889238779886 813.0
198.7084359807181 794.0
198.97797203627835 803.0
199.2475005539964 803.0
199.51702153338914 813.0
199.78653497397343 806.0
200.05604087526618 813.0
200.3255392367842 807.0
200.59503005804436 808.0
200.8645133385636 798.0
201.1339890778587 809.0
201.4034572754466 811.0
201.67291793084408 821.0
201.94237104356813 816.0
202.21181661313554 817.0
202.48125463906314 815.0
202.7506851208679 815.0
203.02010805806663 810.0
203.28952345017618 814.0
203.55893129671344 803.0
203.8283315971953 796.0
204.0977243511386 821.0
204.3671095580602 805.0
204.636487217477 807.0
204.90585732890585 813.0
205.17521989186366 810.0
205.44457490586717 817.0
205.7139223704334 827.0
205.98326228507918 812.0
206.2525946493213 820.0
206.5219194626767 807.0
206.79123672466224 804.0
207.06054643479476 811.0
207.32984859259116 812.0
207.59914319756828 801.0
207.86843024924303 801.0
208.13770974713225 811.0
208.40698169075276 804.0
208.6762460796215 837.0
208.94550291325532 804.0
209.2147521911711 808.0
209.48399391288567 798.0
209.75322807791594 802.0
210.02245468577874 815.0
210.29167373599094 799.0
210.56088522806942 812.0
210.83008916153108 803.0
211.09928553589276 818.0
211.3684743506713 827.0
211.63765560538363 807.0
211.9068292995466 804.0
212.175995432677 806.0
212.44515400429182 811.0
212.71430501390782 812.0
212.98344846104192 814.0
213.25258434521103 807.0
213.52171266593191 806.0
213.79083342272153 795.0
214.05994661509675 810.0
214.3290522425744 819.0
214.5981503046713 813.0
214.8672408009044 808.0
215.13632373079054 797.0
215.4053990938466 800.0
215.6744668895894 807.0
215.94352711753592 816.0
216.21257977720293 801.0
216.48162486810728 809.0
216.7506623897659 806.0
217.01969234169565 812.0
217.2887147234134 800.0
217.55772953443596 814.0
217.82673677428028 817.0
218.0957364424632 815.0
218.36472853850154 823.0
218.6337130619122 812.0
218.9026900122121 812.0
219.17165938891804 805.0
219.4406211915469 810.0
219.70957541961562 817.0
219.97852207264097 806.0
220.24746115013983 807.0
220.5163926516291 819.0
220.78531657662566 809.0
221.05423292464639 824.0
221.32314169520808 819.0
221.59204288782766 812.0
221.860936502022 814.0
222.12982253730797 806.0
222.39870099320237 802.0
222.66757186922214 804.0
222.93643516488416 797.0
223.20529087970525 817.0
223.47413901320226 817.0
223.74297956489212 810.0
224.01181253429166 816.0
224.28063792091777 809.0
224.5494557242873 801.0
224.8182659439171 816.0
225.08706857932413 818.0
225.35586363002508 805.0
225.62465109553705 820.0
225.89343097537673 789.0
226.16220326906105 806.0
226.43096797610687 817.0
226.69972509603105 819.0
226.9684746283505 789.0
227.237216572582 806.0
227.50595092824256 825.0
227.7746776948489 808.0
228.04339687191796 814.0
228.31210845896663 809.0
228.5808124555117 808.0
228.84950886107015 819.0
229.11819767515877 820.0
229.38687889729442 821.0
229.65555252699397 817.0
229.92421856377433 816.0
230.1928770071524 802.0
230.46152785664492 810.0
230.73017111176884 818.0
230.99880677204106 806.0
231.26743483697837 812.0
231.53605530609772 812.0
231.8046681789159 806.0
232.07327345494983 803.0
232.34187113371638 807.0
232.61046121473237 804.0
232.87904369751473 820.0
233.14761858158028 807.0
233.41618586644586 814.0
233.68474555162845 820.0
233.95329763664483 806.0
234.2218421210119 807.0
234.49037900424648 822.0
234.7589082858655 816.0
235.02742996538583 819.0
235.29594404232427 819.0
235.56445051619772 834.0
235.8329493865231 815.0
236.10144065281722 817.0
236.36992431459691 823.0
236.63840037137916 810.0
236.9068688226808 809.0
237.1753296680186 796.0
237.44378290690955 799.0
237.7122285388704 810.0
237.9806665634181 815.0
238.24909698006957 798.0
238.51751978834153 794.0
238.78593498775095 820.0
239.0543425778147 817.0
239.32274255804958 832.0
239.59113492797255 829.0
239.8595196871004 830.0
240.12789683495004 804.0
240.3962663710383 796.0
240.66462829488208 806.0
240.93298260599826 822.0
241.2013293039037 833.0
241.46966838811522 820.0
241.73799985814978 810.0
242.00632371352418 808.0
242.27463995375527 818.0
242.54294857835998 815.0
242.81124958685515 812.0
243.07954297875764 809.0
243.34782875358434 813.0
243.61610691085207 808.0
243.88437745007772 821.0
244.15264037077822 814.0
244.42089567247035 803.0
244.68914335467105 817.0
244.95738341689716 818.0
245.2256158586655 812.0
245.493840679493 807.0
245.76205787889654 826.0
246.03026745639292 819.0
246.29846941149904 813.0
246.5666637437318 804.0
246.834850452608 818.0
247.1030295376446 808.0
247.37120099835838 803.0
247.63936483426627 818.0
247.9075210448851 814.0
248.17566962973177 813.0
248.4438105883231 810.0
248.71194392017603 822.0
248.98006962480733 802.0
249.248187701734 809.0
249.51629815047275 814.0
249.78440097054056 821.0
250.05249616145431 810.0
250.32058372273076 810.0
250.5886636538869 794.0
250.85673595443953 812.0
251.12480062390551 829.0
251.39285766180177 819.0
251.6609070676451 814.0
251.92894884095242 800.0
252.19698298124058 795.0
252.46500948802645 815.0
252.73302836082692 808.0
253.00103959915882 804.0
253.26904320253902 817.0
253.53703917048443 809.0
253.80502750251188 816.0
254.07300819813827 808.0
254.34098125688044 802.0
254.60894667825525 816.0
254.87690446177962 813.0
255.14485460697037 812.0
255.41279711334434 811.0
255.6807319804185 798.0
255.94865920770962 789.0
256.2165787947346 809.0
256.48449074101035 804.0
256.75239504605366 795.0
257.02029170938147 805.0
257.28818073051065 803.0
257.556062108958 812.0
257.8239358442404 815.0
258.0918019358748 802.0
258.35966038337796 820.0
258.6275111862668 808.0
258.8953543440582 814.0
259.163189856269 817.0
259.4310177224162 805.0
259.6988379420164 810.0
259.9666505145867 804.0
260.23445543964385 817.0
260.50225271670473 839.0
260.77004234528624 809.0
261.03782432490533 814.0
261.3055986550787 818.0
261.5733653353234 803.0
261.8411243651561 812.0
262.1088757440937 826.0
262.37661947165327 811.0
262.6443555473515 815.0
262.9120839707053 815.0
263.1798047412315 836.0
263.44751785844704 793.0
263.7152233218687 798.0
263.98292113101354 812.0
264.2506112853982 819.0
264.51829378453965 807.0
264.7859686279547 821.0
265.05363581516025 831.0
265.32129534567326 798.0
265.5889472190105 798.0
265.8565914346889 815.0
266.1242279922252 802.0
266.39185689113634 803.0
266.65947813093925 817.0
266.9270917111508 813.0
267.19469763128774 807.0
267.46229589086704 809.0
267.72988648940554 811.0
267.9974694264201 818.0
268.2650447014276 804.0
268.53261231394487 818.0
268.80017226348883 818.0
269.0677245495763 813.0
269.3352691717242 808.0
269.60280612944933 810.0
269.8703354222686 806.0
270.13785704969894 809.0
270.40537101125716 810.0
270.67287730646007 799.0
270.9403759348246 804.0
271.2078668958677 820.0
271.47535018910605 806.0
271.7428258140567 815.0
272.01029377023633 812.0
272.2777540571619 810.0
272.5452066743504 823.0
272.81265162131854 810.0
273.08008889758327 824.0
273.34751850266144 818.0
273.6149404360698 798.0
273.8823546973254 799.0
274.1497612859451 783.0
274.4171602014456 808.0
274.6845514433439 808.0
274.95193501115676 814.0
275.2193109044012 806.0
275.486679122594 801.0
275.7540396652521 813.0
276.02139253189216 814.0
276.2887377220313 796.0
276.55607523518626 800.0
276.82340507087395 791.0
277.09072722861123 812.0
277.3580417079149 814.0
277.62534850830195 815.0
277.8926476292892 805.0
278.1599390703934 818.0
278.4272228311316 812.0
278.69449891102056 826.0
278.96176730957717 798.0
279.22902802631836 806.0
279.4962810607609 800.0
279.76352641242164 813.0
280.0307640808177 813.0
280.29799406546556 798.0
280.5652163658824 813.0
280.8324309815849 815.0
281.09963791209003 805.0
281.3668371569146 813.0
281.6340287155756 814.0
281.9012125875897 814.0
282.168388772474 824.0
282.4355572697452 820.0
282.7027180789201 823.0
282.9698711995158 800.0
283.23701663104896 820.0
283.50415437303667 811.0
283.77128442499554 798.0
284.0384067864426 801.0
284.3055214568946 803.0
284.57262843586864 804.0
284.8397277228814 816.0
285.1068193174497 809.0
285.37390321909055 815.0
285.6409794273207 810.0
285.9080479416572 807.0
286.1751087616167 811.0
286.4421618867162 805.0
286.7092073164725 806.0
286.9762450504025 800.0
287.24327508802315 811.0
287.5102974288511 827.0
287.77731207240345 804.0
288.04431901819703 794.0
288.3113182657485 815.0
288.578309814575 800.0
288.84529366419326 805.0
289.1122698141201 804.0
289.37923826387254 814.0
289.6461990129674 817.0
289.91315206092133 816.0
290.18009740725154 816.0
290.44703505147464 806.0
290.7139649931077 816.0
290.98088723166734 812.0
291.24780176667065 815.0
291.5147085976344 808.0
291.78160772407557 829.0
292.04849914551085 832.0
292.3153828614572 803.0
292.58225887143146 794.0
292.8491271749505 803.0
293.1159877715313 799.0
293.3828406606906 814.0
293.6496858419453 834.0
293.9165233148123 798.0
294.1833530788084 800.0
294.4501751334505 799.0
294.71698947825547 804.0
294.9837961127402 810.0
295.2505950364216 824.0
295.5173862488164 806.0
295.78416974944156 809.0
296.050945537814 809.0
296.31771361345045 805.0
296.584473975868 807.0
296.8512266245832 811.0
297.11797155911313 809.0
297.38470877897464 811.0
297.6514382836846 824.0
297.9181600727598 809.0
298.18487414571723 815.0
298.4515805020736 807.0
298.71827914134593 809.0
298.9849700630511 804.0
299.2516532667058 800.0
299.518328751827 802.0
299.78499651793163 793.0
300.0516565645365 812.0
300.3183088911584 817.0
300.58495349731436 820.0
300.8515903825211 810.0
301.1182195462956 810.0
301.3848409881546 811.0
301.65145470761513 808.0
301.91806070419403 816.0
302.184658977408 813.0
302.4512495267741 818.0
302.7178323518091 808.0
302.9844074520298 812.0
303.2509748269532 812.0
303.5175344760962 797.0
303.78408639897555 819.0
304.0506305951082 810.0
304.31716706401096 816.0
304.58369580520065 823.0
304.8502168181943 803.0
305.1167301025086 810.0
305.3832356576606 807.0
305.649733483167 805.0
305.9162235785447 804.0
306.1827059433106 820.0
306.4491805769817 804.0
306.7156474790747 805.0
306.98210664910647 815.0
307.2485580865939 811.0
307.5150017910539 795.0
307.7814377620034 801.0
308.0478659989591 812.0
308.31428650143795 790.0
308.58069926895683 808.0
308.8471043010326 821.0
309.1135015971821 807.0
309.37989115692227 810.0
309.6462729797699 812.0
309.91264706524197 828.0
310.1790134128551 823.0
310.4453720221265 814.0
310.71172289257277 807.0
310.97806602371094 815.0
311.2444014150577 822.0
311.5107290661301 797.0
311.777048976445 795.0
312.04336114551904 788.0
312.30966557286945 808.0
312.5759622580128 825.0
312.8422512004661 818.0
313.1085323997461 829.0
313.3748058553698 810.0
313.641071566854 806.0
313.90732953371554 818.0
314.17357975547145 807.0
314.4398222316384 816.0
314.70605696173334 791.0
314.9722839452731 797.0
315.23850318177466 814.0
315.50471467075477 816.0
315.7709184117303 810.0
316.0371144042182 830.0
316.3033026477353 808.0
316.56948314179846 820.0
316.8356558859246 805.0
317.1018208796305 821.0
317.36797812243304 809.0
317.6341276138491 810.0
317.90026935339563 816.0
318.1664033405894 814.0
318.4325295749473 826.0
318.6986480559862 807.0
318.96475878322303 788.0
319.2308617561746 805.0
319.4969569743577 823.0
319.76304443728935 817.0
320.0291241444864 811.0
320.2951960954656 791.0
320.5612602897438 803.0
320.82731672683815 806.0
321.0933654062652 815.0
321.359406327542 807.0
321.6254394901853 836.0
321.891464893712 812.0
322.157482537639 811.0
322.4234924214832 820.0
322.68949454476143 808.0
322.95548890699064 810.0
323.2214755076875 816.0
323.487454346369 830.0
323.753425422552 817.0
324.01938873575347 810.0
