gas=Ar_shot=25_power=239.1WHR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 811.0
195.2037815346219 762.0
195.47341553816543 764.0
195.74304201014752 779.0
196.012660950085 801.0
196.28227235749478 817.0
196.55187623189366 814.0
196.82147257279857 801.0
197.09106137972637 817.0
197.36064265219392 808.0
197.63021638971804 799.0
197.89978259181567 809.0
198.16934125800364 809.0
198.43889238779886 814.0
198.7084359807181 805.0
198.97797203627835 817.0
199.2475005539964 827.0
199.51702153338914 831.0
199.78653497397343 812.0
200.05604087526618 806.0
200.3255392367842 795.0
200.59503005804436 818.0
200.8645133385636 817.0
201.1339890778587 808.0
201.4034572754466 825.0
201.67291793084408 821.0
201.94237104356813 816.0
202.21181661313554 817.0
202.48125463906314 823.0
202.7506851208679 801.0
203.02010805806663 810.0
203.28952345017618 804.0
203.55893129671344 805.0
203.8283315971953 814.0
204.0977243511386 819.0
204.3671095580602 814.0
204.636487217477 801.0
204.90585732890585 821.0
205.17521989186366 820.0
205.44457490586717 801.0
205.7139223704334 810.0
205.98326228507918 821.0
206.2525946493213 814.0
206.5219194626767 816.0
206.79123672466224 805.0
207.06054643479476 822.0
207.32984859259116 816.0
207.59914319756828 824.0
207.86843024924303 808.0
208.13770974713225 818.0
208.40698169075276 801.0
208.6762460796215 828.0
208.94550291325532 821.0
209.2147521911711 802.0
209.48399391288567 813.0
209.75322807791594 823.0
210.02245468577874 820.0
210.29167373599094 814.0
210.56088522806942 814.0
210.83008916153108 805.0
211.09928553589276 796.0
211.3684743506713 807.0
211.63765560538363 804.0
211.9068292995466 813.0
212.175995432677 808.0
212.44515400429182 805.0
212.71430501390782 805.0
212.98344846104192 817.0
213.25258434521103 824.0
213.52171266593191 821.0
213.79083342272153 814.0
214.05994661509675 813.0
214.3290522425744 825.0
214.5981503046713 809.0
214.8672408009044 801.0
215.13632373079054 799.0
215.4053990938466 812.0
215.6744668895894 818.0
215.94352711753592 812.0
216.21257977720293 812.0
216.48162486810728 802.0
216.7506623897659 820.0
217.01969234169565 814.0
217.2887147234134 813.0
217.55772953443596 811.0
217.82673677428028 811.0
218.0957364424632 819.0
218.36472853850154 801.0
218.6337130619122 817.0
218.9026900122121 807.0
219.17165938891804 809.0
219.4406211915469 827.0
219.70957541961562 801.0
219.97852207264097 815.0
220.24746115013983 804.0
220.5163926516291 827.0
220.78531657662566 816.0
221.05423292464639 817.0
221.32314169520808 794.0
221.59204288782766 809.0
221.860936502022 820.0
222.12982253730797 813.0
222.39870099320237 811.0
222.66757186922214 803.0
222.93643516488416 804.0
223.20529087970525 806.0
223.47413901320226 822.0
223.74297956489212 831.0
224.01181253429166 818.0
224.28063792091777 829.0
224.5494557242873 818.0
224.8182659439171 818.0
225.08706857932413 803.0
225.35586363002508 804.0
225.62465109553705 821.0
225.89343097537673 816.0
226.16220326906105 809.0
226.43096797610687 832.0
226.69972509603105 815.0
226.9684746283505 796.0
227.237216572582 791.0
227.50595092824256 810.0
227.7746776948489 799.0
228.04339687191796 791.0
