gas=Ar_shot=35_power=138.5W_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 811.0
195.2037815346219 770.0
195.47341553816543 784.0
195.74304201014752 788.0
196.012660950085 808.0
196.28227235749478 800.0
196.55187623189366 822.0
196.82147257279857 806.0
197.09106137972637 809.0
197.36064265219392 812.0
197.63021638971804 838.0
197.89978259181567 830.0
198.16934125800364 804.0
198.43889238779886 817.0
198.7084359807181 796.0
198.97797203627835 812.0
199.2475005539964 800.0
199.51702153338914 845.0
199.78653497397343 817.0
200.05604087526618 820.0
200.3255392367842 812.0
200.59503005804436 809.0
200.8645133385636 818.0
201.1339890778587 805.0
201.4034572754466 817.0
201.67291793084408 817.0
201.94237104356813 832.0
202.21181661313554 822.0
202.48125463906314 811.0
202.7506851208679 828.0
203.02010805806663 812.0
203.28952345017618 813.0
203.55893129671344 800.0
203.8283315971953 810.0
204.0977243511386 829.0
204.3671095580602 818.0
204.636487217477 818.0
204.90585732890585 815.0
205.17521989186366 814.0
205.44457490586717 812.0
205.7139223704334 811.0
205.98326228507918 828.0
206.2525946493213 825.0
206.5219194626767 815.0
206.79123672466224 813.0
207.06054643479476 809.0
207.32984859259116 828.0
207.59914319756828 820.0
207.86843024924303 810.0
208.13770974713225 803.0
208.40698169075276 810.0
208.6762460796215 823.0
208.94550291325532 820.0
209.2147521911711 816.0
209.48399391288567 819.0
209.75322807791594 808.0
210.02245468577874 811.0
210.29167373599094 808.0
210.56088522806942 820.0
210.83008916153108 818.0
211.09928553589276 817.0
211.3684743506713 833.0
211.63765560538363 824.0
211.9068292995466 824.0
212.175995432677 820.0
212.44515400429182 816.0
212.71430501390782 822.0
212.98344846104192 805.0
213.25258434521103 817.0
213.52171266593191 825.0
213.79083342272153 805.0
214.05994661509675 809.0
214.3290522425744 810.0
214.5981503046713 827.0
214.8672408009044 825.0
215.13632373079054 825.0
215.4053990938466 812.0
215.6744668895894 814.0
215.94352711753592 822.0
216.21257977720293 810.0
216.48162486810728 827.0
216.7506623897659 824.0
217.01969234169565 814.0
217.2887147234134 803.0
217.55772953443596 808.0
217.82673677428028 818.0
218.0957364424632 818.0
218.36472853850154 806.0
218.6337130619122 808.0
218.9026900122121 823.0
219.17165938891804 801.0
219.4406211915469 804.0
219.70957541961562 823.0
219.97852207264097 816.0
220.24746115013983 806.0
220.5163926516291 797.0
220.78531657662566 819.0
221.05423292464639 814.0
221.32314169520808 820.0
221.59204288782766 820.0
221.860936502022 825.0
222.12982253730797 822.0
222.39870099320237 812.0
222.66757186922214 814.0
222.93643516488416 814.0
223.20529087970525 825.0
223.47413901320226 839.0
223.74297956489212 821.0
224.01181253429166 802.0
224.28063792091777 825.0
224.5494557242873 818.0
224.8182659439171 814.0
225.08706857932413 821.0
225.35586363002508 815.0
225.62465109553705 826.0
225.89343097537673 814.0
226.16220326906105 835.0
226.43096797610687 805.0
226.69972509603105 819.0
226.9684746283505 825.0
227.237216572582 818.0
227.50595092824256 811.0
227.7746776948489 801.0
228.04339687191796 822.0
