gas=Ar_shot=41_power=219.3W_HR4000 spectrum
Wavelength [nm] // Intensity [u.a.] 
194.93414 806.0
195.2037815346219 762.0
195.47341553816543 777.0
195.74304201014752 794.0
196.012660950085 805.0
196.28227235749478 807.0
196.55187623189366 803.0
196.82147257279857 820.0
197.09106137972637 810.0
197.36064265219392 803.0
197.63021638971804 807.0
197.89978259181567 806.0
198.16934125800364 810.0
198.43889238779886 832.0
198.7084359807181 820.0
198.97797203627835 798.0
199.2475005539964 837.0
199.51702153338914 820.0
199.78653497397343 818.0
200.05604087526618 820.0
200.3255392367842 821.0
200.59503005804436 808.0
200.8645133385636 831.0
201.1339890778587 816.0
201.4034572754466 812.0
201.67291793084408 815.0
201.94237104356813 840.0
202.21181661313554 807.0
202.48125463906314 823.0
202.7506851208679 814.0
203.02010805806663 814.0
203.28952345017618 822.0
203.55893129671344 820.0
203.8283315971953 810.0
204.0977243511386 809.0
204.3671095580602 833.0
204.636487217477 822.0
204.90585732890585 816.0
205.17521989186366 826.0
205.44457490586717 805.0
205.7139223704334 831.0
205.98326228507918 826.0
206.2525946493213 806.0
206.5219194626767 827.0
206.79123672466224 815.0
207.06054643479476 823.0
207.32984859259116 829.0
207.59914319756828 829.0
207.86843024924303 814.0
208.13770974713225 800.0
208.40698169075276 817.0
208.6762460796215 817.0
208.94550291325532 816.0
209.2147521911711 826.0
209.48399391288567 815.0
209.75322807791594 809.0
210.02245468577874 816.0
210.29167373599094 796.0
210.56088522806942 821.0
210.83008916153108 806.0
211.09928553589276 817.0
211.3684743506713 828.0
211.63765560538363 821.0
211.9068292995466 829.0
212.175995432677 806.0
212.44515400429182 806.0
212.71430501390782 821.0
212.98344846104192 821.0
213.25258434521103 808.0
213.52171266593191 837.0
213.79083342272153 815.0
214.05994661509675 807.0
214.3290522425744 814.0
214.5981503046713 826.0
214.8672408009044 807.0
215.13632373079054 811.0
215.4053990938466 806.0
215.6744668895894 815.0
215.94352711753592 813.0
216.21257977720293 809.0
216.48162486810728 812.0
216.7506623897659 826.0
217.01969234169565 824.0
217.2887147234134 832.0
217.55772953443596 814.0
217.82673677428028 823.0
218.0957364424632 812.0
218.36472853850154 813.0
218.6337130619122 826.0
218.9026900122121 817.0
219.17165938891804 816.0
219.4406211915469 823.0
219.70957541961562 812.0
219.97852207264097 815.0
220.24746115013983 815.0
220.5163926516291 811.0
220.78531657662566 802.0
221.05423292464639 823.0
221.32314169520808 799.0
221.59204288782766 809.0
221.860936502022 818.0
222.12982253730797 806.0
222.39870099320237 804.0
222.66757186922214 809.0
222.93643516488416 814.0
223.20529087970525 813.0
223.47413901320226 819.0
223.74297956489212 827.0
224.01181253429166 830.0
224.28063792091777 817.0
224.5494557242873 814.0
224.8182659439171 830.0
225.08706857932413 822.0
225.35586363002508 824.0
225.62465109553705 815.0
225.89343097537673 823.0
226.16220326906105 815.0
226.43096797610687 812.0
226.69972509603105 827.0
226.9684746283505 816.0
227.237216572582 799.0
227.50595092824256 821.0
227.7746776948489 793.0
228.04339687191796 810.0
228.31210845896663 818.0
228.5808124555117 812.0
228.84950886107015 797.0
229.11819767515877 818.0
229.38687889729442 819.0
229.65555252699397 823.0
229.92421856377433 828.0
230.1928770071524 808.0
230.46152785664492 818.0
230.73017111176884 813.0
230.99880677204106 831.0
231.26743483697837 817.0
231.53605530609772 816.0
231.8046681789159 815.0
232.07327345494983 823.0
232.34187113371638 815.0
232.61046121473237 823.0
232.87904369751473 811.0
233.14761858158028 825.0
233.41618586644586 809.0
233.68474555162845 822.0
233.95329763664483 818.0
234.2218421210119 823.0
234.49037900424648 812.0
234.7589082858655 824.0
235.02742996538583 818.0
235.29594404232427 813.0
235.56445051619772 804.0
235.8329493865231 806.0
236.10144065281722 822.0
236.36992431459691 820.0
236.63840037137916 830.0
236.9068688226808 820.0
237.1753296680186 809.0
237.44378290690955 803.0
237.7122285388704 807.0
237.9806665634181 829.0
238.24909698006957 809.0
238.51751978834153 798.0
238.78593498775095 809.0
239.0543425778147 810.0
239.32274255804958 820.0
239.59113492797255 804.0
239.8595196871004 810.0
240.12789683495004 817.0
240.3962663710383 820.0
240.66462829488208 821.0
240.93298260599826 818.0
241.2013293039037 819.0
241.46966838811522 823.0
241.73799985814978 821.0
242.00632371352418 821.0
242.27463995375527 824.0
242.54294857835998 819.0
242.81124958685515 822.0
243.07954297875764 822.0
243.34782875358434 808.0
243.61610691085207 810.0
243.88437745007772 830.0
244.15264037077822 816.0
244.42089567247035 823.0
244.68914335467105 816.0
244.95738341689716 790.0
245.2256158586655 809.0
245.493840679493 811.0
245.76205787889654 815.0
246.03026745639292 807.0
246.29846941149904 814.0
246.5666637437318 825.0
246.834850452608 825.0
247.1030295376446 813.0
247.37120099835838 814.0
247.63936483426627 815.0
247.9075210448851 809.0
248.17566962973177 822.0
248.4438105883231 813.0
248.71194392017603 821.0
248.98006962480733 830.0
249.248187701734 823.0
249.51629815047275 838.0
249.78440097054056 825.0
250.05249616145431 818.0
250.32058372273076 820.0
250.5886636538869 815.0
250.85673595443953 817.0
251.12480062390551 829.0
251.39285766180177 832.0
251.6609070676451 806.0
251.92894884095242 807.0
252.19698298124058 816.0
252.46500948802645 810.0
252.73302836082692 794.0
253.00103959915882 810.0
253.26904320253902 806.0
253.53703917048443 806.0
253.80502750251188 817.0
254.07300819813827 815.0
254.34098125688044 813.0
254.60894667825525 837.0
254.87690446177962 810.0
255.14485460697037 814.0
255.41279711334434 807.0
255.6807319804185 809.0
255.94865920770962 800.0
256.2165787947346 809.0
256.48449074101035 804.0
256.75239504605366 815.0
257.02029170938147 808.0
257.28818073051065 818.0
257.556062108958 820.0
257.8239358442404 824.0
258.0918019358748 817.0
258.35966038337796 816.0
258.6275111862668 820.0
258.8953543440582 808.0
259.163189856269 830.0
259.4310177224162 837.0
259.6988379420164 834.0
259.9666505145867 811.0
260.23445543964385 818.0
260.50225271670473 821.0
260.77004234528624 825.0
261.03782432490533 830.0
261.3055986550787 813.0
261.5733653353234 818.0
261.8411243651561 824.0
262.1088757440937 819.0
262.37661947165327 812.0
262.6443555473515 810.0
262.9120839707053 819.0
263.1798047412315 814.0
263.44751785844704 815.0
263.7152233218687 805.0
263.98292113101354 810.0
264.2506112853982 811.0
264.51829378453965 812.0
264.7859686279547 819.0
265.05363581516025 809.0
265.32129534567326 811.0
265.5889472190105 805.0
265.8565914346889 804.0
266.1242279922252 824.0
266.39185689113634 834.0
266.65947813093925 806.0
266.9270917111508 827.0
267.19469763128774 814.0
267.46229589086704 828.0
267.72988648940554 832.0
267.9974694264201 818.0
268.2650447014276 803.0
268.53261231394487 818.0
268.80017226348883 814.0
269.0677245495763 822.0
269.3352691717242 817.0
269.60280612944933 813.0
269.8703354222686 821.0
270.13785704969894 791.0
270.40537101125716 809.0
270.67287730646007 815.0
270.9403759348246 832.0
271.2078668958677 811.0
271.47535018910605 824.0
271.7428258140567 816.0
272.01029377023633 818.0
272.2777540571619 823.0
272.5452066743504 819.0
272.81265162131854 816.0
273.08008889758327 802.0
273.34751850266144 821.0
273.6149404360698 830.0
273.8823546973254 809.0
274.1497612859451 809.0
274.4171602014456 820.0
274.6845514433439 803.0
274.95193501115676 798.0
275.2193109044012 796.0
275.486679122594 806.0
275.7540396652521 828.0
