HR4000_03_08_2023_13h58min08s spectrum
Wavelength [nm] // Intensity [u.a.] 
536.9341400000001 805.0
537.9341400000001 789.0
538.9341400000001 791.0
539.9341400000001 791.0
540.9341400000001 796.0
541.9341400000001 791.0
542.9341400000001 792.0
543.9341400000001 796.0
544.9341400000001 794.0
545.9341400000001 804.0
546.9341400000001 800.0
547.9341400000001 796.0
548.9341400000001 798.0
549.9341400000001 799.0
550.9341400000001 794.0
551.9341400000001 800.0
552.9341400000001 807.0
553.9341400000001 801.0
554.9341400000001 801.0
555.9341400000001 799.0
556.9341400000001 801.0
557.9341400000001 806.0
558.9341400000001 794.0
559.9341400000001 791.0
560.9341400000001 793.0
561.9341400000001 787.0
562.9341400000001 812.0
563.9341400000001 819.0
564.9341400000001 800.0
565.9341400000001 807.0
566.9341400000001 796.0
567.9341400000001 793.0
568.9341400000001 796.0
569.9341400000001 808.0
570.9341400000001 810.0
571.9341400000001 807.0
572.9341400000001 817.0
573.9341400000001 799.0
574.9341400000001 792.0
575.9341400000001 808.0
576.9341400000001 798.0
577.9341400000001 804.0
578.9341400000001 790.0
579.9341400000001 796.0
580.9341400000001 815.0
581.9341400000001 805.0
582.9341400000001 804.0
583.9341400000001 793.0
584.9341400000001 786.0
585.9341400000001 791.0
586.9341400000001 807.0
587.9341400000001 800.0
588.9341400000001 793.0
589.9341400000001 806.0
590.9341400000001 788.0
591.9341400000001 815.0
592.9341400000001 793.0
593.9341400000001 794.0
594.9341400000001 814.0
595.9341400000001 795.0
596.9341400000001 801.0
597.9341400000001 809.0
598.9341400000001 803.0
599.9341400000001 790.0
600.9341400000001 803.0
601.9341400000001 792.0
602.9341400000001 798.0
603.9341400000001 801.0
604.9341400000001 788.0
605.9341400000001 807.0
606.9341400000001 809.0
607.9341400000001 807.0
608.9341400000001 806.0
609.9341400000001 802.0
610.9341400000001 801.0
611.9341400000001 790.0
612.9341400000001 805.0
613.9341400000001 791.0
614.9341400000001 791.0
615.9341400000001 800.0
616.9341400000001 801.0
617.9341400000001 813.0
618.9341400000001 798.0
619.9341400000001 801.0
620.9341400000001 800.0
621.9341400000001 802.0
622.9341400000001 793.0
623.9341400000001 809.0
624.9341400000001 812.0
625.9341400000001 811.0
626.9341400000001 804.0
627.9341400000001 802.0
628.9341400000001 801.0
629.9341400000001 802.0
630.9341400000001 808.0
631.9341400000001 821.0
632.9341400000001 806.0
633.9341400000001 792.0
634.9341400000001 804.0
635.9341400000001 805.0
636.9341400000001 802.0
637.9341400000001 804.0
638.9341400000001 807.0
639.9341400000001 796.0
640.9341400000001 809.0
641.9341400000001 808.0
642.9341400000001 794.0
643.9341400000001 800.0
644.9341400000001 804.0
645.9341400000001 796.0
646.9341400000001 802.0
647.9341400000001 806.0
648.9341400000001 795.0
649.9341400000001 783.0
650.9341400000001 804.0
651.9341400000001 789.0
652.9341400000001 803.0
653.9341400000001 800.0
654.9341400000001 810.0
655.9341400000001 793.0
656.9341400000001 799.0
657.9341400000001 809.0
658.9341400000001 789.0
659.9341400000001 795.0
660.9341400000001 793.0
661.9341400000001 807.0
662.9341400000001 792.0
663.9341400000001 809.0
664.9341400000001 806.0
665.9341400000001 806.0
666.9341400000001 805.0
667.9341400000001 794.0
668.9341400000001 802.0
669.9341400000001 791.0
670.9341400000001 787.0
671.9341400000001 782.0
672.9341400000001 810.0
673.9341400000001 791.0
674.9341400000001 797.0
675.9341400000001 805.0
676.9341400000001 796.0
677.9341400000001 797.0
678.9341400000001 801.0
679.9341400000001 813.0
680.9341400000001 801.0
681.9341400000001 793.0
682.9341400000001 801.0
683.9341400000001 798.0
684.9341400000001 797.0
685.9341400000001 817.0
686.9341400000001 812.0
687.9341400000001 806.0
688.9341400000001 804.0
689.9341400000001 785.0
